name,zone,latitude,longitude,price_2026
Rachenahalli,North,13.0640,77.6220,11600
Nagavara,North,13.0430,77.6200,11450
Thanisandra,North,13.0560,77.6300,11400
Sanjay Nagar,North,13.0300,77.5720,10600
Hennur,North,13.0300,77.6400,10350
Kogilu,North,13.0840,77.6060,10250
Kannur,North,13.0880,77.6450,10050
Bagalur,North,13.1260,77.6640,9700
Devanahalli,North,13.2480,77.7130,9500
Sampigehalli,North,13.0700,77.6180,9450
Sahakara Nagar,North,13.0620,77.5790,9400
HBR Layout,North,13.0280,77.6230,9200
Kodigehalli,North,13.0560,77.5860,9000
Mathikere,North,13.0330,77.5610,9000
Yelahanka New Town,North,13.1010,77.5960,8500
Banaswadi,North,13.0140,77.6510,8500
Kammanahalli,North,13.0140,77.6370,8400
RT Nagar,North,13.0210,77.5940,8200
Kalyan Nagar,North,13.0220,77.6400,7900
Doddaballapur Road,North,13.1500,77.5700,7500
Yelahanka,North,13.0980,77.5820,7458
Horamavu,North,13.0280,77.6580,7200
Shettigere,North,13.2280,77.6590,7000
Chikkajala,North,13.1560,77.6180,6500
Vidyaranyapura,North,13.0770,77.5540,6200
Malleshwaram,West,13.0030,77.5690,15850
Rajajinagar,West,12.9911,77.5529,14000
Basaveshwaranagar,West,12.9900,77.5390,13000
Tumkur Road,West,13.0450,77.4900,11000
Mahalakshmi Layout,West,13.0100,77.5490,10000
Vijayanagar,West,12.9719,77.5292,9850
Chandra Layout,West,12.9700,77.5170,8400
Rajarajeshwari Nagar,West,12.9250,77.5180,8350
Jalahalli,West,13.0430,77.5460,8350
Nagarbhavi,West,12.9620,77.5080,7700
Kamakshipalya,West,12.9840,77.5280,7650
Nandini Layout,West,13.0090,77.5400,7600
Magadi Road,West,12.9760,77.5400,7000
Nayandahalli,West,12.9420,77.5190,7000
Peenya,West,13.0280,77.5180,6300
Sunkadakatte,West,12.9960,77.5050,6100
Kengeri,West,12.9070,77.4840,5800
Bhuvaneshwari Nagar,West,13.0180,77.5190,5600
Nelamangala,West,13.1003,77.3956,4500
Bidadi,West,12.7990,77.3860,3800
