point_id,latitude,longitude,orders_per_day
p095,12.891686,77.662569,1350
p096,12.892023,77.596777,1644
p097,12.892405,77.548334,906
p098,12.892633,77.537021,768
p099,12.892789,77.636701,1620
p100,12.892803,77.466247,360
p101,12.892923,77.506046,594
p102,12.893345,77.483707,480
p103,12.89347,77.50077,582
p104,12.893604,77.586513,1578
p105,12.893652,77.577904,1494
p106,12.893848,77.643932,1614
p107,12.894002,77.619093,1728
p108,12.894042,77.565445,1308
p109,12.894101,77.573969,1434
p110,12.894305,77.654436,1494
p111,12.894309,77.55416,1074
p112,12.894388,77.521616,708
p113,12.894648,77.668829,1332
p114,12.895499,77.612022,1812
p115,12.895529,77.533668,816
p116,12.895619,77.517158,702
p117,12.895629,77.604751,1830
p118,12.898453,77.590152,1908
p119,12.898902,77.555776,1242
p120,12.899036,77.578594,1764
p121,12.899171,77.523936,828
p122,12.899208,77.625752,1980
p123,12.899225,77.52915,870
p124,12.899404,77.670133,1422
p125,12.899419,77.650875,1728
p126,12.89959,77.466884,408
p127,12.899611,77.562439,1452
p128,12.899967,77.618512,2040
p129,12.900047,77.659811,1608
p130,12.900195,77.61361,2046
p131,12.900595,77.547521,1134
p132,12.900946,77.604312,2184
p133,12.901029,77.635823,2034
p134,12.901079,77.538404,1014
p135,12.901173,77.679616,1344
p136,12.90121,77.642086,1968
p137,12.901586,77.508266,768
p138,12.901656,77.596718,2154
p139,12.90216,77.491337,624
p140,12.902189,77.569543,1716
p141,12.902446,77.498864,690
p142,12.902593,77.476399,504
p143,12.902871,77.484733,582
p144,12.903633,77.513633,846
p145,12.906361,77.572483,1962
p146,12.906636,77.467166,438
p147,12.906677,77.606327,2538
p148,12.906761,77.528473,1074
p149,12.906867,77.613627,2418
p150,12.906964,77.706394,942
p151,12.907038,77.651882,1962
p152,12.907732,77.554665,1518
p153,12.907974,77.617755,2502
p154,12.908381,77.695548,1194
p155,12.908505,77.637211,2388
p156,12.90867,77.480154,576
p157,12.908869,77.521946,1032
p158,12.908953,77.64459,2238
p159,12.909298,77.580402,2310
p160,12.909314,77.49165,702
p161,12.909525,77.545656,1374
p162,12.909585,77.596939,2622
p163,12.909648,77.717511,756
p164,12.909838,77.56302,1848
p165,12.909931,77.509193,906
p166,12.910105,77.679148,1560
p167,12.9105,77.512837,972
p168,12.910604,77.627847,2562
p169,12.910651,77.476369,552
p170,12.910768,77.539429,1332
p171,12.910773,77.6862,1476
p172,12.910787,77.660859,1836
p173,12.911634,77.724293,660
p174,12.911709,77.666682,1806
p175,12.9118,77.50016,828
p176,12.914392,77.545761,1530
p177,12.914793,77.633571,2664
p178,12.914922,77.475579,576
p179,12.915092,77.491382,768
p180,12.915127,77.572821,2310
p181,12.915305,77.74168,486
p182,12.915621,77.55666,1848
p183,12.915631,77.694543,1428
p184,12.916098,77.523377,1224
p185,12.916159,77.538694,1458
p186,12.916399,77.586597,2688
p187,12.916838,77.565328,2178
p188,12.91692,77.51546,1128
p189,12.917,77.709259,1026
p190,12.917127,77.481441,660
p191,12.917241,77.641742,2556
p192,12.917493,77.668946,1830
p193,12.917493,77.593962,2862
p194,12.917572,77.530232,1362
p195,12.917711,77.662904,1908
p196,12.918522,77.699915,1332
p197,12.918938,77.734147,612
p198,12.919234,77.609959,3090
p199,12.919343,77.579389,2634
p200,12.919391,77.625799,2940
p201,12.919469,77.505667,978
p202,12.920028,77.676642,1782
p203,12.922571,77.702345,1374
p204,12.922687,77.66911,1878
p205,12.92271,77.652917,2310
p206,12.922728,77.485125,750
p207,12.922782,77.675429,1812
p208,12.922902,77.588514,2946
p209,12.922951,77.717012,948
p210,12.923136,77.610471,3270
p211,12.923253,77.577704,2700
p212,12.923379,77.661334,2058
p213,12.923432,77.735373,654
p214,12.923486,77.687498,1776
p215,12.92366,77.634379,3000
p216,12.923664,77.594025,3060
p217,12.924302,77.491655,828
p218,12.924466,77.557385,2100
p219,12.924519,77.605132,3222
p220,12.925128,77.474043,594
p221,12.925195,77.62808,3252
p222,12.925226,77.563299,2346
p223,12.925394,77.538399,1602
p224,12.925421,77.500469,972
p225,12.925551,77.512951,1176
p226,12.925863,77.693361,1722
p227,12.925872,77.74327,582
p228,12.925891,77.57151,2544
p229,12.926169,77.532902,1530
p230,12.926171,77.522136,1350
p231,12.926217,77.707972,1260
p232,12.927064,77.621349,3384
p233,12.927117,77.747896,540
p234,12.92719,77.641692,2808
p235,12.927199,77.505358,1074
p236,12.928094,77.727483,834
p237,12.930811,77.539269,1710
p238,12.931119,77.577524,2814
p239,12.931231,77.498499,978
p240,12.931304,77.507287,1140
p241,12.931443,77.653359,2466
p242,12.931482,77.748081,582
p243,12.931637,77.613186,3510
p244,12.931866,77.548914,1974
p245,12.932003,77.662613,2196
p246,12.932004,77.708104,1500
p247,12.932127,77.677824,1818
p248,12.932356,77.643619,2946
p249,12.932518,77.718465,1110
p250,12.932664,77.701411,1710
p251,12.932836,77.756884,516
p252,12.933097,77.74273,666
p253,12.93327,77.586183,3018
p254,12.933525,77.530265,1578
p255,12.933905,77.564769,2502
p256,12.934276,77.637365,3330
p257,12.934303,77.734905,774
p258,12.934737,77.727413,942
p259,12.934846,77.684408,1734
p260,12.934883,77.572615,2688
p261,12.934959,77.523746,1518
p262,12.935009,77.692901,1800
p263,12.935042,77.554627,2226
p264,12.935257,77.517051,1404
p265,12.935436,77.594571,3186
p266,12.93882,77.731324,912
p267,12.938856,77.539664,1836
p268,12.939048,77.742358,738
p269,12.939269,77.658175,2370
p270,12.939558,77.574317,2760
p271,12.939626,77.552669,2232
p272,12.939809,77.52379,1578
p273,12.939969,77.756755,564
p274,12.940022,77.560567,2424
p275,12.940145,77.651973,2670
p276,12.940333,77.671235,1974
p277,12.940844,77.485147,804
p278,12.941277,77.725892,1146
p279,12.94159,77.545679,2076
p280,12.941601,77.597143,3300
p281,12.941925,77.694101,1734
p282,12.942103,77.634568,4152
p283,12.942146,77.490619,912
p284,12.942295,77.514454,1404
p285,12.9427,77.499153,1080
p286,12.943031,77.71066,1740
p287,12.943086,77.578767,2880
p288,12.943218,77.67939,1746
p289,12.943223,77.529787,1734
p290,12.943633,77.686676,1698
p291,12.943853,77.619239,4014
p292,12.943936,77.644825,3444
p293,12.944143,77.701458,1776
p294,12.946832,77.65896,2460
p295,12.947072,77.613697,3732
p296,12.94737,77.533382,1896
p297,12.947509,77.73393,1062
p298,12.947897,77.499935,1164
p299,12.947915,77.513381,1452
p300,12.948024,77.604335,3450
p301,12.948061,77.739331,906
p302,12.948296,77.748202,750
p303,12.94835,77.723585,1446
p304,12.94884,77.701093,1710
p305,12.948876,77.719309,1614
p306,12.949216,77.757125,648
p307,12.949374,77.653573,2898
p308,12.949438,77.693641,1674
p309,12.9495,77.564084,2664
p310,12.949548,77.590447,3126
p311,12.949557,77.574252,2814
p312,12.949614,77.627597,4428
p313,12.949835,77.552705,2322
p314,12.949875,77.68341,1680
p315,12.950059,77.66771,2052
p316,12.950239,77.675438,1842
p317,12.950245,77.548698,2220
p318,12.950272,77.520949,1662
p319,12.950597,77.540027,2052
p320,12.950657,77.634456,4578
p321,12.951836,77.472991,552
p322,12.951851,77.581691,2988
p323,12.951924,77.490494,948
p324,12.951959,77.594554,3276
p325,12.952135,77.483438,756
p326,12.954977,77.528852,1866
p327,12.955014,77.732916,1344
p328,12.955205,77.492279,978
p329,12.95527,77.626284,4176
p330,12.955319,77.707311,1698
p331,12.955449,77.714827,1770
p332,12.955815,77.605645,3582
p333,12.955908,77.682196,1644
p334,12.955993,77.54763,2250
p335,12.956159,77.635262,4656
p336,12.956353,77.747745,864
p337,12.956517,77.643082,4464
p338,12.956619,77.764468,624
p339,12.956778,77.612744,3678
p340,12.956912,77.515142,1548
p341,12.957026,77.58649,3204
p342,12.957124,77.48348,732
p343,12.957388,77.662657,2496
p344,12.957416,77.505763,1320
p345,12.957567,77.499336,1164
p346,12.958052,77.474685,558
p347,12.958106,77.622078,3966
p348,12.958447,77.593786,3438
p349,12.95852,77.651203,3846
p350,12.958578,77.759986,702
p351,12.958682,77.571429,2844
p352,12.958991,77.693919,1536
p353,12.959041,77.581809,3084
p354,12.959203,77.739237,1200
p355,12.959289,77.562578,2652
p356,12.959783,77.541726,2118
p357,12.959847,77.725675,1668
p358,12.960149,77.521526,1734
p359,12.960197,77.702238,1578
p360,12.96034,77.676312,1794
p361,12.962966,77.557088,2520
p362,12.963246,77.725598,1704
p363,12.963819,77.757764,780
p364,12.963891,77.629544,4020
p365,12.963999,77.691807,1518
p366,12.964019,77.731245,1614
p367,12.96403,77.714575,1668
p368,12.964276,77.601106,3846
p369,12.964323,77.654,3966
p370,12.964438,77.546086,2250
p371,12.964456,77.643959,4542
p372,12.964491,77.74282,1212
p373,12.964508,77.709896,1596
p374,12.964721,77.522033,1740
p375,12.964904,77.764832,672
p376,12.965084,77.6115,3834
p377,12.965175,77.63561,4320
p378,12.965306,77.686904,1560
p379,12.965406,77.594626,3636
p380,12.96547,77.538339,2082
p381,12.965487,77.485062,720
p382,12.96567,77.584917,3318
p383,12.965933,77.515591,1608
p384,12.966025,77.532728,1980
p385,12.966143,77.619503,3846
p386,12.966353,77.499343,1116
p387,12.96657,77.507063,1362
p388,12.966576,77.701768,1530
p389,12.966847,77.667479,2670
p390,12.966921,77.488669,798
p391,12.967088,77.748185,1092
p392,12.967773,77.562515,2694
p393,12.968124,77.662344,3384
p394,12.968193,77.582134,3258
p395,12.971303,77.629807,3792
p396,12.971404,77.67762,2016
p397,12.971705,77.596554,3816
p398,12.971778,77.691484,1518
p399,12.971829,77.73576,1644
p400,12.971959,77.650183,4452
p401,12.972141,77.756023,930
p402,12.972192,77.581797,3372
p403,12.972501,77.572285,3024
p404,12.972626,77.775879,540
p405,12.97263,77.609843,3984
p406,12.972736,77.750817,1152
p407,12.972835,77.546197,2316
p408,12.972905,77.602014,4086
p409,12.973036,77.767218,678
p410,12.973171,77.642072,4164
p411,12.973553,77.715559,1524
p412,12.973678,77.524437,1794
p413,12.97376,77.636846,3906
p414,12.973817,77.741246,1476
p415,12.97402,77.533734,2004
p416,12.974573,77.663043,3786
p417,12.974632,77.552704,2478
p418,12.974973,77.724596,1602
p419,12.975042,77.686553,1662
p420,12.975247,77.512155,1452
p421,12.97542,77.497177,984
p422,12.975438,77.506377,1296
p423,12.975539,77.617316,3960
p424,12.975837,77.484199,624
p425,12.975962,77.5861,3576
p426,12.976631,77.702736,1476
p427,12.976718,77.66941,3294
p428,12.979564,77.675688,2742
p429,12.979567,77.614439,3978
p430,12.979763,77.734286,1590
p431,12.980217,77.479671,498
p432,12.980349,77.620051,3996
p433,12.980519,77.499853,1026
p434,12.980672,77.666096,3948
p435,12.981195,77.741366,1500
p436,12.981242,77.604501,3972
p437,12.981442,77.764979,834
p438,12.981523,77.651758,4062
p439,12.981917,77.569225,2910
p440,12.981986,77.523192,1758
p441,12.982132,77.544743,2316
p442,12.982149,77.707775,1458
p443,12.98218,77.699339,1506
p444,12.982329,77.646885,3654
p445,12.982711,77.715479,1452
p446,12.982783,77.473614,384
p447,12.982799,77.536891,2112
p448,12.982895,77.587846,3480
p449,12.982898,77.506921,1236
p450,12.982937,77.751871,1308
p451,12.983141,77.594416,3702
p452,12.983182,77.662435,4152
p453,12.983413,77.724919,1446
p454,12.983707,77.633809,3528
p455,12.983901,77.553201,2544
p456,12.984023,77.492065,750
p457,12.984118,77.561711,2730
p458,12.98421,77.625818,3708
p459,12.984521,77.687512,1926
p460,12.98733,77.718873,1422
p461,12.987499,77.733726,1392
p462,12.987582,77.678336,3168
p463,12.988142,77.576979,3192
p464,12.988245,77.638147,3294
p465,12.988517,77.747151,1350
p466,12.988586,77.605664,3756
p467,12.988706,77.501218,960
p468,12.98883,77.563704,2712
p469,12.988968,77.537523,2052
p470,12.988968,77.661909,3978
p471,12.989238,77.686698,2322
p472,12.989282,77.58565,3384
p473,12.989346,77.596266,3600
p474,12.989434,77.724293,1344
p475,12.989627,77.695086,1734
p476,12.989792,77.766439,942
p477,12.990127,77.772424,732
p478,12.990419,77.573915,2994
p479,12.990533,77.66631,3984
p480,12.990966,77.70978,1446
p481,12.991175,77.644832,3072
p482,12.991368,77.629861,3468
p483,12.991381,77.474915,354
p484,12.991383,77.517538,1410
p485,12.991607,77.492916,678
p486,12.991925,77.556376,2478
p487,12.992117,77.544488,2148
p488,12.992197,77.69955,1644
p489,12.992411,77.65304,3276
p490,12.992898,77.529876,1764
p491,12.995443,77.637399,2964
p492,12.995469,77.693471,2142
p493,12.995473,77.759883,1182
p494,12.995494,77.65085,2976
p495,12.995619,77.589504,3378
p496,12.995666,77.726277,1248
p497,12.995996,77.644117,2712
p498,12.996002,77.609474,3480
p499,12.996104,77.48033,396
p500,12.996166,77.686027,2988
p501,12.996331,77.707975,1434
p502,12.996497,77.595085,3360
p503,12.996761,77.512371,1128
p504,12.996903,77.743596,1158
p505,12.997093,77.566165,2664
p506,12.99734,77.546184,2112
p507,12.997872,77.577592,2838
p508,12.998104,77.678104,3648
p509,12.998332,77.667332,3762
p510,12.998415,77.658921,3216
p511,12.998536,77.490431,558
p512,12.998732,77.552602,2214
p513,12.999063,77.496877,672
p514,12.999108,77.751765,1128
p515,12.999127,77.698512,1932
p516,12.999174,77.538666,1842
p517,12.999661,77.6059,3270
p518,12.999769,77.521899,1320
p519,12.99984,77.717969,1284
p520,13.000291,77.630015,3090
p521,13.000605,77.528673,1518
p522,13.000745,77.62252,3180
p523,13.00407,77.739813,990
p524,13.004136,77.683866,3474
p525,13.004288,77.663055,2994
p526,13.004325,77.557552,2160
p527,13.004331,77.598468,3018
p528,13.004755,77.586228,2820
p529,13.004978,77.75818,996
p530,13.005017,77.735083,1014
p531,13.005217,77.637463,2598
p532,13.005632,77.574112,2538
p533,13.005813,77.708697,1494
p534,13.005977,77.719759,1134
p535,13.006435,77.642332,2346
p536,13.006467,77.481456,354
p537,13.006539,77.610337,2826
p538,13.006612,77.545954,1800
p539,13.006625,77.679344,3540
p540,13.006938,77.580312,2622
p541,13.00701,77.505204,732
p542,13.00719,77.561063,2124
p543,13.007362,77.773202,798
p544,13.007788,77.750335,906
p545,13.007805,77.703255,1992
p546,13.008002,77.630256,2574
p547,13.008447,77.533214,1422
p548,13.008453,77.694288,3018
p549,13.008535,77.727857,1050
p550,13.008623,77.602932,2766
p551,13.008665,77.667665,2814
p552,13.009012,77.514807,906
p553,13.01165,77.489195,426
p554,13.011748,77.4839,342
p555,13.011805,77.606711,2562
p556,13.011845,77.635116,2352
p557,13.011874,77.668796,2610
p558,13.01194,77.517222,900
p559,13.012207,77.69458,3138
p560,13.012332,77.70871,1746
p561,13.012371,77.67867,3132
p562,13.013339,77.564032,2040
p563,13.013822,77.643292,2112
p564,13.013907,77.499974,552
p565,13.01396,77.661241,2112
p566,13.014126,77.597654,2502
p567,13.014126,77.686162,3222
p568,13.014159,77.537664,1314
p569,13.014343,77.530007,1128
p570,13.014506,77.611408,2376
p571,13.014543,77.581731,2370
p572,13.014912,77.726606,930
p573,13.015733,77.620427,2226
p574,13.015734,77.554622,1704
p575,13.015775,77.572032,2154
p576,13.016027,77.587817,2316
p577,13.016883,77.702212,2658
p578,13.017154,77.524982,942
p579,13.017168,77.508162,612
p580,13.020411,77.521215,786
p581,13.020516,77.484491,324
p582,13.021325,77.715228,1578
p583,13.021362,77.692255,3060
p584,13.021991,77.569115,1884
p585,13.022029,77.642576,1836
p586,13.022044,77.49752,432
p587,13.022088,77.709486,2196
p588,13.022266,77.541115,1092
p589,13.022747,77.544398,1182
p590,13.022768,77.588379,2112
p591,13.022826,77.597644,2118
p592,13.023004,77.563262,1662
p593,13.023068,77.578153,2046
p594,13.023195,77.5296,864
p595,13.023217,77.512632,606
p596,13.023369,77.609373,2040
p597,13.023476,77.65313,1782
p598,13.023586,77.661138,1692
p599,13.023603,77.724121,1026
p600,13.024023,77.506395,510
p601,13.024129,77.666871,1692
p602,13.024417,77.627057,1818
p603,13.024506,77.621047,1908
p604,13.02467,77.553814,1326
p605,13.024884,77.633743,1764
p606,13.024946,77.682593,2274
p607,13.027901,77.507411,474
p608,13.02793,77.593961,1950
p609,13.027942,77.711942,2214
p610,13.029362,77.556945,1272
p611,13.02951,77.563438,1446
p612,13.029602,77.5687,1608
p613,13.029639,77.602981,1902
p614,13.029665,77.64601,1554
p615,13.030112,77.653875,1554
p616,13.030113,77.530058,696
p617,13.030495,77.628921,1626
p618,13.030943,77.53988,828
p619,13.031002,77.724774,1278
p620,13.03122,77.491683,312
p621,13.031317,77.719241,1734
p622,13.031578,77.61436,1776
p623,13.031654,77.578701,1860
p624,13.031872,77.588358,1968
p625,13.031876,77.667654,1398
p626,13.032285,77.620926,1740
p627,13.032299,77.525729,594
p628,13.0325,77.659462,1452
p629,13.032823,77.63651,1500
p630,13.033317,77.495774,336
p631,13.035888,77.541551,726
p632,13.036127,77.563517,1212
p633,13.036532,77.610012,1728
p634,13.036677,77.500708,348
p635,13.036957,77.594534,1836
p636,13.037036,77.635451,1398
p637,13.037253,77.658169,1278
p638,13.037417,77.617352,1686
p639,13.037671,77.642368,1266
p640,13.037675,77.603566,1758
p641,13.03838,77.674703,1188
p642,13.03914,77.578535,1620
p643,13.039397,77.62828,1446
p644,13.039601,77.570437,1326
p645,13.039702,77.512718,390
p646,13.039761,77.547735,726
p647,13.039859,77.651271,1134
p648,13.039912,77.531127,522
p649,13.039973,77.52267,450
p650,13.040527,77.509184,366
p651,13.040923,77.586684,1770
p652,13.041102,77.483718,222
p653,13.044137,77.49846,288
p654,13.04436,77.658382,1008
p655,13.044407,77.622543,1440
p656,13.044549,77.532801,474
p657,13.044933,77.516319,366
p658,13.044964,77.655085,978
p659,13.045304,77.612922,1542
p660,13.045958,77.50648,312
p661,13.046113,77.676768,984
p662,13.046141,77.578697,1392
p663,13.046309,77.564085,912
p664,13.046986,77.554738,672
p665,13.047072,77.574187,1176
p666,13.047112,77.646226,942
p667,13.047221,77.628124,1296
p668,13.047323,77.63609,1128
p669,13.047392,77.520787,366
p670,13.047647,77.548858,564
p671,13.047708,77.682578,942
p672,13.048412,77.595433,1644
p673,13.048429,77.604152,1614
p674,13.048483,77.538113,444
p675,13.04858,77.588216,1590
p676,13.048581,77.670239,900
p677,13.052154,77.564655,756
p678,13.052826,77.552872,528
p679,13.053084,77.612053,1422
p680,13.05408,77.626418,1140
p681,13.054235,77.506028,270
p682,13.054246,77.533407,360
p683,13.054301,77.497569,240
p684,13.054651,77.597438,1488
p685,13.054758,77.521132,306
p686,13.054825,77.571141,834
p687,13.055156,77.515721,288
p688,13.055162,77.659846,630
p689,13.055195,77.619817,1236
p690,13.055492,77.603479,1464
p691,13.055493,77.636742,918
p692,13.055707,77.587223,1242
p693,13.056828,77.53714,354
p694,13.056866,77.642907,774
p695,13.05768,77.577245,906
p696,13.057721,77.548164,408
p697,13.060644,77.593788,1212
p698,13.060916,77.529758,288
p699,13.061115,77.660026,498
p700,13.061361,77.637629,774
p701,13.061646,77.572638,696
p702,13.062122,77.645207,636
p703,13.062661,77.62898,930
p704,13.062698,77.565145,564
p705,13.062914,77.581297,828
p706,13.062977,77.614799,1230
p707,13.06352,77.553322,396
p708,13.063705,77.505491,216
p709,13.064449,77.650323,540
p710,13.064533,77.618614,1122
p711,13.064993,77.52164,234
p712,13.065029,77.536346,282
p713,13.065053,77.586809,876
p714,13.06546,77.601939,1200
p715,13.068786,77.517286,210
p716,13.069183,77.617685,1104
p717,13.06936,77.503999,186
p718,13.069509,77.497371,174
p719,13.069701,77.579413,636
p720,13.070151,77.633806,732
p721,13.070686,77.606187,1068
p722,13.071475,77.566049,456
p723,13.071987,77.557567,360
p724,13.071988,77.524802,210
p725,13.07228,77.536945,240
p726,13.07263,77.610999,1044
p727,13.072671,77.627535,840
p728,13.073121,77.545102,270
p729,13.073345,77.572609,510
p730,13.073573,77.588487,696
p731,13.076608,77.626035,870
p732,13.076683,77.621732,960
p733,13.076821,77.506471,162
p734,13.076846,77.556053,324
p735,13.077366,77.520288,180
p736,13.07746,77.572746,462
p737,13.07811,77.595992,708
p738,13.078964,77.64541,444
p739,13.079727,77.579539,498
p740,13.079941,77.546402,252
p741,13.080311,77.541348,228
p742,13.080941,77.637249,612
p743,13.081095,77.603613,726
p744,13.082011,77.609375,768
p745,13.084491,77.610501,714
p746,13.08497,77.53186,186
p747,13.085008,77.627417,804
p748,13.085131,77.620271,786
p749,13.085486,77.587699,510
p750,13.085708,77.645933,426
p751,13.086801,77.573984,396
p752,13.087927,77.576978,414
p753,13.088093,77.563531,330
p754,13.088391,77.553634,264
p755,13.088781,77.636525,630
p756,13.088902,77.603037,558
p757,13.089043,77.548745,240
p758,13.089494,77.538625,198
p759,13.089853,77.596521,522
p760,13.093529,77.566066,330
p761,13.093964,77.611021,516
p762,13.095818,77.633494,612
p763,13.095851,77.622322,546
p764,13.09592,77.62621,576
p765,13.097311,77.594548,456
p766,13.098123,77.641792,534
p767,13.09821,77.588219,432
p768,13.101024,77.603022,438
p769,13.101361,77.62129,444
p770,13.102665,77.586381,396
p771,13.103422,77.612151,402
p772,13.104511,77.628386,420
p773,13.104522,77.594536,402
p774,13.104889,77.578043,354
p775,13.10599,77.563854,276
p776,13.108962,77.570462,294
p777,13.109811,77.563754,264
p778,13.110475,77.598184,366
p779,13.110643,77.637465,372
p780,13.110715,77.578879,330
p781,13.111059,77.603897,366
p782,13.111826,77.585787,342
p783,13.112952,77.630897,306
p784,13.117017,77.633479,276
p785,13.117104,77.61385,312
p786,13.117641,77.59402,336
p787,13.11903,77.604205,318
p788,13.119187,77.57385,276
p789,13.119215,77.579916,294
p790,13.120036,77.627993,264
p791,13.120892,77.589147,312
p792,13.121597,77.618988,276
p793,13.125398,77.597608,294
p794,13.125611,77.587476,288
p795,13.126732,77.611221,270
p796,13.127945,77.571682,246
p797,13.12809,77.581053,270
p798,13.130201,77.603784,270
p799,13.133836,77.572987,228
p800,13.137061,77.579924,228
