point_id,latitude,longitude
p255,12.933905,77.564769
p256,12.934276,77.637365
p257,12.934303,77.734905
p258,12.934737,77.727413
p259,12.934846,77.684408
p260,12.934883,77.572615
p261,12.934959,77.523746
p262,12.935009,77.692901
p263,12.935042,77.554627
p264,12.935257,77.517051
p265,12.935436,77.594571
p266,12.93882,77.731324
p267,12.938856,77.539664
p268,12.939048,77.742358
p269,12.939269,77.658175
p270,12.939558,77.574317
p271,12.939626,77.552669
p272,12.939809,77.52379
p273,12.939969,77.756755
p274,12.940022,77.560567
p275,12.940145,77.651973
p276,12.940333,77.671235
p277,12.940844,77.485147
p278,12.941277,77.725892
p279,12.94159,77.545679
p280,12.941601,77.597143
p281,12.941925,77.694101
p282,12.942103,77.634568
p283,12.942146,77.490619
p284,12.942295,77.514454
p285,12.9427,77.499153
p286,12.943031,77.71066
p287,12.943086,77.578767
p288,12.943218,77.67939
p289,12.943223,77.529787
p290,12.943633,77.686676
p291,12.943853,77.619239
p292,12.943936,77.644825
p293,12.944143,77.701458
p294,12.946832,77.65896
p295,12.947072,77.613697
p296,12.94737,77.533382
p297,12.947509,77.73393
p298,12.947897,77.499935
p299,12.947915,77.513381
p300,12.948024,77.604335
p301,12.948061,77.739331
p302,12.948296,77.748202
p303,12.94835,77.723585
p304,12.94884,77.701093
p305,12.948876,77.719309
p306,12.949216,77.757125
p307,12.949374,77.653573
p308,12.949438,77.693641
p309,12.9495,77.564084
p310,12.949548,77.590447
p311,12.949557,77.574252
p312,12.949614,77.627597
p313,12.949835,77.552705
p314,12.949875,77.68341
p315,12.950059,77.66771
p316,12.950239,77.675438
p317,12.950245,77.548698
p318,12.950272,77.520949
p319,12.950597,77.540027
p320,12.950657,77.634456
p321,12.951836,77.472991
p322,12.951851,77.581691
p323,12.951924,77.490494
p324,12.951959,77.594554
p325,12.952135,77.483438
p326,12.954977,77.528852
p327,12.955014,77.732916
p328,12.955205,77.492279
p329,12.95527,77.626284
p330,12.955319,77.707311
p331,12.955449,77.714827
p332,12.955815,77.605645
p333,12.955908,77.682196
p334,12.955993,77.54763
p335,12.956159,77.635262
p336,12.956353,77.747745
p337,12.956517,77.643082
p338,12.956619,77.764468
p339,12.956778,77.612744
p340,12.956912,77.515142
p341,12.957026,77.58649
p342,12.957124,77.48348
p343,12.957388,77.662657
p344,12.957416,77.505763
p345,12.957567,77.499336
p346,12.958052,77.474685
p347,12.958106,77.622078
p348,12.958447,77.593786
p349,12.95852,77.651203
p350,12.958578,77.759986
p351,12.958682,77.571429
p352,12.958991,77.693919
p353,12.959041,77.581809
p354,12.959203,77.739237
p355,12.959289,77.562578
p356,12.959783,77.541726
p357,12.959847,77.725675
p358,12.960149,77.521526
p359,12.960197,77.702238
p360,12.96034,77.676312
p361,12.962966,77.557088
p362,12.963246,77.725598
p363,12.963819,77.757764
p364,12.963891,77.629544
p365,12.963999,77.691807
p366,12.964019,77.731245
p367,12.96403,77.714575
p368,12.964276,77.601106
p369,12.964323,77.654
p370,12.964438,77.546086
p371,12.964456,77.643959
p372,12.964491,77.74282
p373,12.964508,77.709896
p374,12.964721,77.522033
p375,12.964904,77.764832
p376,12.965084,77.6115
p377,12.965175,77.63561
p378,12.965306,77.686904
p379,12.965406,77.594626
p380,12.96547,77.538339
p381,12.965487,77.485062
p382,12.96567,77.584917
p383,12.965933,77.515591
p384,12.966025,77.532728
p385,12.966143,77.619503
p386,12.966353,77.499343
p387,12.96657,77.507063
p388,12.966576,77.701768
p389,12.966847,77.667479
p390,12.966921,77.488669
p391,12.967088,77.748185
p392,12.967773,77.562515
p393,12.968124,77.662344
p394,12.968193,77.582134
p395,12.971303,77.629807
p396,12.971404,77.67762
p397,12.971705,77.596554
p398,12.971778,77.691484
p399,12.971829,77.73576
p400,12.971959,77.650183
p401,12.972141,77.756023
p402,12.972192,77.581797
p403,12.972501,77.572285
p404,12.972626,77.775879
p405,12.97263,77.609843
p406,12.972736,77.750817
p407,12.972835,77.546197
p408,12.972905,77.602014
p409,12.973036,77.767218
p410,12.973171,77.642072
p411,12.973553,77.715559
p412,12.973678,77.524437
p413,12.97376,77.636846
p414,12.973817,77.741246
p415,12.97402,77.533734
p416,12.974573,77.663043
p417,12.974632,77.552704
p418,12.974973,77.724596
p419,12.975042,77.686553
p420,12.975247,77.512155
p421,12.97542,77.497177
p422,12.975438,77.506377
p423,12.975539,77.617316
p424,12.975837,77.484199
p425,12.975962,77.5861
p426,12.976631,77.702736
p427,12.976718,77.66941
p428,12.979564,77.675688
p429,12.979567,77.614439
p430,12.979763,77.734286
p431,12.980217,77.479671
p432,12.980349,77.620051
p433,12.980519,77.499853
p434,12.980672,77.666096
p435,12.981195,77.741366
p436,12.981242,77.604501
p437,12.981442,77.764979
p438,12.981523,77.651758
p439,12.981917,77.569225
p440,12.981986,77.523192
p441,12.982132,77.544743
p442,12.982149,77.707775
p443,12.98218,77.699339
p444,12.982329,77.646885
p445,12.982711,77.715479
p446,12.982783,77.473614
p447,12.982799,77.536891
p448,12.982895,77.587846
p449,12.982898,77.506921
p450,12.982937,77.751871
p451,12.983141,77.594416
p452,12.983182,77.662435
p453,12.983413,77.724919
p454,12.983707,77.633809
p455,12.983901,77.553201
p456,12.984023,77.492065
p457,12.984118,77.561711
p458,12.98421,77.625818
p459,12.984521,77.687512
p460,12.98733,77.718873
p461,12.987499,77.733726
p462,12.987582,77.678336
p463,12.988142,77.576979
p464,12.988245,77.638147
p465,12.988517,77.747151
p466,12.988586,77.605664
p467,12.988706,77.501218
p468,12.98883,77.563704
p469,12.988968,77.537523
p470,12.988968,77.661909
p471,12.989238,77.686698
p472,12.989282,77.58565
p473,12.989346,77.596266
p474,12.989434,77.724293
p475,12.989627,77.695086
p476,12.989792,77.766439
p477,12.990127,77.772424
p478,12.990419,77.573915
p479,12.990533,77.66631
p480,12.990966,77.70978
p481,12.991175,77.644832
p482,12.991368,77.629861
p483,12.991381,77.474915
p484,12.991383,77.517538
p485,12.991607,77.492916
p486,12.991925,77.556376
p487,12.992117,77.544488
p488,12.992197,77.69955
p489,12.992411,77.65304
p490,12.992898,77.529876
p491,12.995443,77.637399
p492,12.995469,77.693471
p493,12.995473,77.759883
p494,12.995494,77.65085
p495,12.995619,77.589504
p496,12.995666,77.726277
p497,12.995996,77.644117
p498,12.996002,77.609474
p499,12.996104,77.48033
p500,12.996166,77.686027
p501,12.996331,77.707975
p502,12.996497,77.595085
p503,12.996761,77.512371
p504,12.996903,77.743596
p505,12.997093,77.566165
p506,12.99734,77.546184
p507,12.997872,77.577592
p508,12.998104,77.678104
p509,12.998332,77.667332
p510,12.998415,77.658921
p511,12.998536,77.490431
p512,12.998732,77.552602
p513,12.999063,77.496877
p514,12.999108,77.751765
p515,12.999127,77.698512
p516,12.999174,77.538666
p517,12.999661,77.6059
p518,12.999769,77.521899
p519,12.99984,77.717969
p520,13.000291,77.630015
p521,13.000605,77.528673
p522,13.000745,77.62252
p523,13.00407,77.739813
p524,13.004136,77.683866
p525,13.004288,77.663055
p526,13.004325,77.557552
p527,13.004331,77.598468
p528,13.004755,77.586228
p529,13.004978,77.75818
p530,13.005017,77.735083
p531,13.005217,77.637463
p532,13.005632,77.574112
p533,13.005813,77.708697
p534,13.005977,77.719759
p535,13.006435,77.642332
p536,13.006467,77.481456
p537,13.006539,77.610337
p538,13.006612,77.545954
p539,13.006625,77.679344
p540,13.006938,77.580312
p541,13.00701,77.505204
p542,13.00719,77.561063
p543,13.007362,77.773202
p544,13.007788,77.750335
p545,13.007805,77.703255
p546,13.008002,77.630256
p547,13.008447,77.533214
p548,13.008453,77.694288
p549,13.008535,77.727857
p550,13.008623,77.602932
p551,13.008665,77.667665
p552,13.009012,77.514807
p553,13.01165,77.489195
p554,13.011748,77.4839
p555,13.011805,77.606711
p556,13.011845,77.635116
p557,13.011874,77.668796
p558,13.01194,77.517222
p559,13.012207,77.69458
p560,13.012332,77.70871
p561,13.012371,77.67867
p562,13.013339,77.564032
p563,13.013822,77.643292
p564,13.013907,77.499974
p565,13.01396,77.661241
p566,13.014126,77.597654
p567,13.014126,77.686162
p568,13.014159,77.537664
p569,13.014343,77.530007
p570,13.014506,77.611408
p571,13.014543,77.581731
p572,13.014912,77.726606
p573,13.015733,77.620427
p574,13.015734,77.554622
p575,13.015775,77.572032
p576,13.016027,77.587817
p577,13.016883,77.702212
p578,13.017154,77.524982
p579,13.017168,77.508162
p580,13.020411,77.521215
p581,13.020516,77.484491
p582,13.021325,77.715228
p583,13.021362,77.692255
p584,13.021991,77.569115
p585,13.022029,77.642576
p586,13.022044,77.49752
p587,13.022088,77.709486
p588,13.022266,77.541115
p589,13.022747,77.544398
p590,13.022768,77.588379
p591,13.022826,77.597644
p592,13.023004,77.563262
p593,13.023068,77.578153
p594,13.023195,77.5296
p595,13.023217,77.512632
p596,13.023369,77.609373
p597,13.023476,77.65313
p598,13.023586,77.661138
p599,13.023603,77.724121
p600,13.024023,77.506395
p601,13.024129,77.666871
p602,13.024417,77.627057
p603,13.024506,77.621047
p604,13.02467,77.553814
p605,13.024884,77.633743
p606,13.024946,77.682593
p607,13.027901,77.507411
p608,13.02793,77.593961
p609,13.027942,77.711942
p610,13.029362,77.556945
p611,13.02951,77.563438
p612,13.029602,77.5687
p613,13.029639,77.602981
p614,13.029665,77.64601
p615,13.030112,77.653875
p616,13.030113,77.530058
p617,13.030495,77.628921
p618,13.030943,77.53988
p619,13.031002,77.724774
p620,13.03122,77.491683
p621,13.031317,77.719241
p622,13.031578,77.61436
p623,13.031654,77.578701
p624,13.031872,77.588358
p625,13.031876,77.667654
p626,13.032285,77.620926
p627,13.032299,77.525729
p628,13.0325,77.659462
p629,13.032823,77.63651
p630,13.033317,77.495774
p631,13.035888,77.541551
p632,13.036127,77.563517
p633,13.036532,77.610012
p634,13.036677,77.500708
p635,13.036957,77.594534
p636,13.037036,77.635451
p637,13.037253,77.658169
p638,13.037417,77.617352
p639,13.037671,77.642368
p640,13.037675,77.603566
p641,13.03838,77.674703
p642,13.03914,77.578535
p643,13.039397,77.62828
p644,13.039601,77.570437
p645,13.039702,77.512718
p646,13.039761,77.547735
p647,13.039859,77.651271
p648,13.039912,77.531127
p649,13.039973,77.52267
p650,13.040527,77.509184
p651,13.040923,77.586684
p652,13.041102,77.483718
p653,13.044137,77.49846
p654,13.04436,77.658382
p655,13.044407,77.622543
p656,13.044549,77.532801
p657,13.044933,77.516319
p658,13.044964,77.655085
p659,13.045304,77.612922
p660,13.045958,77.50648
p661,13.046113,77.676768
p662,13.046141,77.578697
p663,13.046309,77.564085
p664,13.046986,77.554738
p665,13.047072,77.574187
p666,13.047112,77.646226
p667,13.047221,77.628124
p668,13.047323,77.63609
p669,13.047392,77.520787
p670,13.047647,77.548858
p671,13.047708,77.682578
p672,13.048412,77.595433
p673,13.048429,77.604152
p674,13.048483,77.538113
p675,13.04858,77.588216
p676,13.048581,77.670239
p677,13.052154,77.564655
p678,13.052826,77.552872
p679,13.053084,77.612053
p680,13.05408,77.626418
p681,13.054235,77.506028
p682,13.054246,77.533407
p683,13.054301,77.497569
p684,13.054651,77.597438
p685,13.054758,77.521132
p686,13.054825,77.571141
p687,13.055156,77.515721
p688,13.055162,77.659846
p689,13.055195,77.619817
p690,13.055492,77.603479
p691,13.055493,77.636742
p692,13.055707,77.587223
p693,13.056828,77.53714
p694,13.056866,77.642907
p695,13.05768,77.577245
p696,13.057721,77.548164
p697,13.060644,77.593788
p698,13.060916,77.529758
p699,13.061115,77.660026
p700,13.061361,77.637629
p701,13.061646,77.572638
p702,13.062122,77.645207
p703,13.062661,77.62898
p704,13.062698,77.565145
p705,13.062914,77.581297
p706,13.062977,77.614799
p707,13.06352,77.553322
p708,13.063705,77.505491
p709,13.064449,77.650323
p710,13.064533,77.618614
p711,13.064993,77.52164
p712,13.065029,77.536346
p713,13.065053,77.586809
p714,13.06546,77.601939
p715,13.068786,77.517286
p716,13.069183,77.617685
p717,13.06936,77.503999
p718,13.069509,77.497371
p719,13.069701,77.579413
p720,13.070151,77.633806
p721,13.070686,77.606187
p722,13.071475,77.566049
p723,13.071987,77.557567
p724,13.071988,77.524802
p725,13.07228,77.536945
p726,13.07263,77.610999
p727,13.072671,77.627535
p728,13.073121,77.545102
p729,13.073345,77.572609
p730,13.073573,77.588487
p731,13.076608,77.626035
p732,13.076683,77.621732
p733,13.076821,77.506471
p734,13.076846,77.556053
p735,13.077366,77.520288
p736,13.07746,77.572746
p737,13.07811,77.595992
p738,13.078964,77.64541
p739,13.079727,77.579539
p740,13.079941,77.546402
p741,13.080311,77.541348
p742,13.080941,77.637249
p743,13.081095,77.603613
p744,13.082011,77.609375
p745,13.084491,77.610501
p746,13.08497,77.53186
p747,13.085008,77.627417
p748,13.085131,77.620271
p749,13.085486,77.587699
p750,13.085708,77.645933
p751,13.086801,77.573984
p752,13.087927,77.576978
p753,13.088093,77.563531
p754,13.088391,77.553634
p755,13.088781,77.636525
p756,13.088902,77.603037
p757,13.089043,77.548745
p758,13.089494,77.538625
p759,13.089853,77.596521
p760,13.093529,77.566066
p761,13.093964,77.611021
p762,13.095818,77.633494
p763,13.095851,77.622322
p764,13.09592,77.62621
p765,13.097311,77.594548
p766,13.098123,77.641792
p767,13.09821,77.588219
p768,13.101024,77.603022
p769,13.101361,77.62129
p770,13.102665,77.586381
p771,13.103422,77.612151
p772,13.104511,77.628386
p773,13.104522,77.594536
p774,13.104889,77.578043
p775,13.10599,77.563854
p776,13.108962,77.570462
p777,13.109811,77.563754
p778,13.110475,77.598184
p779,13.110643,77.637465
p780,13.110715,77.578879
p781,13.111059,77.603897
p782,13.111826,77.585787
p783,13.112952,77.630897
p784,13.117017,77.633479
p785,13.117104,77.61385
p786,13.117641,77.59402
p787,13.11903,77.604205
p788,13.119187,77.57385
p789,13.119215,77.579916
p790,13.120036,77.627993
p791,13.120892,77.589147
p792,13.121597,77.618988
p793,13.125398,77.597608
p794,13.125611,77.587476
p795,13.126732,77.611221
p796,13.127945,77.571682
p797,13.12809,77.581053
p798,13.130201,77.603784
p799,13.133836,77.572987
p800,13.137061,77.579924
