point_id,latitude,longitude,orders_per_day,price_per_sqft,traffic_index,norm_demand,norm_price,norm_traffic,suitability_score
p051,12.871405,77.669618,876,10638,0.4425,0.1645,0.7635,0.6476,0.4708
p052,12.874125,77.573496,624,9568,0.4652,0.1088,0.8145,0.6202,0.4581
p053,12.874376,77.498666,342,8117,0.15,0.0464,0.8837,1.0000,0.5302
p054,12.874392,77.605686,822,9219,0.6306,0.1525,0.8312,0.4210,0.4437
p055,12.874404,77.564864,558,8267,0.2667,0.0942,0.8766,0.8594,0.5211
p056,12.874856,77.536489,396,8821,0.1785,0.0584,0.8502,0.9657,0.5169
p057,12.874902,77.611437,870,9093,0.4559,0.1631,0.8372,0.6314,0.4927
p058,12.875316,77.513276,360,8924,0.151,0.0504,0.8452,0.9988,0.5183
p059,12.875513,77.54891,474,8188,0.216,0.0756,0.8803,0.9205,0.5262
p060,12.875638,77.556653,522,8021,0.2213,0.0862,0.8883,0.9141,0.5325
p061,12.876052,77.630188,942,9763,0.5472,0.1790,0.8052,0.5214,0.4667
p062,12.876497,77.528731,396,9113,0.1655,0.0584,0.8362,0.9813,0.5152
p063,12.877391,77.597946,906,8338,0.856,0.1711,0.8732,0.1494,0.4125
p064,12.877626,77.577732,774,10545,0.5693,0.1419,0.7680,0.4948,0.4316
p065,12.877658,77.488511,354,7302,0.15,0.0491,0.9226,1.0000,0.5450
p066,12.877812,77.649998,1056,10570,0.8779,0.2042,0.7668,0.1230,0.3849
p067,12.877968,77.504439,390,8331,0.1503,0.0570,0.8735,0.9996,0.5313
p068,12.878383,77.642206,1062,8124,0.8752,0.2056,0.8834,0.1263,0.4269
p069,12.8784,77.637144,1050,8259,0.7777,0.2029,0.8769,0.2437,0.4470
p070,12.879007,77.484301,360,7041,0.15,0.0504,0.9350,1.0000,0.5499
p071,12.879321,77.618806,1050,8912,0.3105,0.2029,0.8458,0.8066,0.5487
p072,12.879471,77.521743,438,9177,0.1586,0.0676,0.8332,0.9896,0.5200
p073,12.88248,77.588291,1068,9474,0.8372,0.2069,0.8190,0.1720,0.4142
p074,12.882547,77.571003,882,10256,0.3468,0.1658,0.7817,0.7629,0.5008
p075,12.883228,77.523713,504,9269,0.1697,0.0822,0.8288,0.9763,0.5223
p076,12.884025,77.617573,1248,8023,0.3538,0.2467,0.8882,0.7545,0.5728
p077,12.884252,77.529497,528,9305,0.1986,0.0875,0.8271,0.9414,0.5172
p078,12.8845,77.553138,720,8110,0.389,0.1300,0.8841,0.7120,0.5103
p079,12.884506,77.549222,678,8218,0.3757,0.1207,0.8789,0.7281,0.5075
p080,12.884568,77.540808,594,8769,0.303,0.1021,0.8526,0.8157,0.5075
p081,12.884648,77.645291,1272,11137,0.8942,0.2520,0.7397,0.1034,0.3930
p082,12.884753,77.505231,468,8076,0.1511,0.0743,0.8857,0.9987,0.5431
p083,12.884785,77.56427,864,8435,0.3887,0.1618,0.8686,0.7124,0.5193
p084,12.885124,77.576766,1056,12170,0.483,0.2042,0.6905,0.5988,0.4533
p085,12.885141,77.636979,1302,10142,0.838,0.2586,0.7872,0.1711,0.4261
p086,12.885475,77.594692,1266,8801,0.8999,0.2507,0.8511,0.0965,0.4300
p087,12.885613,77.480455,402,6442,0.15,0.0597,0.9636,1.0000,0.5641
p088,12.885772,77.614554,1326,8290,0.4427,0.2639,0.8755,0.6473,0.5547
p089,12.88627,77.659022,1212,11007,0.5654,0.2387,0.7459,0.4995,0.4684
p090,12.886778,77.492495,468,6718,0.1501,0.0743,0.9504,0.9999,0.5660
p091,12.886895,77.496189,480,6993,0.1503,0.0769,0.9373,0.9996,0.5626
p092,12.887466,77.51225,540,8682,0.1563,0.0902,0.8568,0.9924,0.5389
p093,12.890719,77.627362,1566,5943,0.7071,0.3170,0.9874,0.3288,0.5540
p094,12.890793,77.489862,504,6268,0.1502,0.0822,0.9719,0.9998,0.5771
p095,12.891686,77.662569,1350,12356,0.4019,0.2692,0.6816,0.6965,0.4990
p096,12.892023,77.596777,1644,9263,0.9,0.3342,0.8291,0.0964,0.4599
p097,12.892405,77.548334,906,8508,0.5981,0.1711,0.8651,0.4601,0.4718
p098,12.892633,77.537021,768,9765,0.3862,0.1406,0.8051,0.7154,0.4881
p099,12.892789,77.636701,1620,9702,0.8966,0.3289,0.8082,0.1005,0.4510
p100,12.892803,77.466247,360,6350,0.15,0.0504,0.9680,1.0000,0.5615
p101,12.892923,77.506046,594,7790,0.1553,0.1021,0.8993,0.9936,0.5594
p102,12.893345,77.483707,480,5997,0.1501,0.0769,0.9848,0.9999,0.5793
p103,12.89347,77.50077,582,7019,0.1523,0.0995,0.9361,0.9972,0.5718
p104,12.893604,77.586513,1578,12011,0.7232,0.3196,0.6981,0.3094,0.4500
p105,12.893652,77.577904,1494,12193,0.6542,0.3011,0.6894,0.3925,0.4553
p106,12.893848,77.643932,1614,11757,0.8561,0.3276,0.7102,0.1493,0.4258
p107,12.894002,77.619093,1728,7159,0.5482,0.3528,0.9294,0.5202,0.5881
p108,12.894042,77.565445,1308,9242,0.6798,0.2599,0.8301,0.3617,0.4798
p109,12.894101,77.573969,1434,11752,0.673,0.2878,0.7104,0.3699,0.4521
p110,12.894305,77.654436,1494,11480,0.5995,0.3011,0.7234,0.4584,0.4803
p111,12.894309,77.55416,1074,8219,0.6997,0.2082,0.8789,0.3377,0.4688
p112,12.894388,77.521616,708,9406,0.2098,0.1273,0.8223,0.9280,0.5307
p113,12.894648,77.668829,1332,13262,0.2723,0.2653,0.6384,0.8527,0.5133
p114,12.895499,77.612022,1812,8217,0.6009,0.3714,0.8790,0.4567,0.5661
p115,12.895529,77.533668,816,10133,0.3747,0.1512,0.7876,0.7293,0.4896
p116,12.895619,77.517158,702,9043,0.1898,0.1260,0.8396,0.9520,0.5410
p117,12.895629,77.604751,1830,8521,0.8097,0.3753,0.8645,0.2052,0.5125
p118,12.898453,77.590152,1908,11255,0.7927,0.3926,0.7341,0.2257,0.4787
p119,12.898902,77.555776,1242,9330,0.8267,0.2454,0.8259,0.1847,0.4364
p120,12.899036,77.578594,1764,11817,0.8132,0.3607,0.7073,0.2010,0.4501
p121,12.899171,77.523936,828,9632,0.2767,0.1538,0.8115,0.8473,0.5227
p122,12.899208,77.625752,1980,7158,0.8444,0.4085,0.9294,0.1634,0.5418
p123,12.899225,77.52915,870,10121,0.3562,0.1631,0.7882,0.7516,0.4996
p124,12.899404,77.670133,1422,13314,0.3771,0.2851,0.6359,0.7264,0.4962
p125,12.899419,77.650875,1728,11548,0.6081,0.3528,0.7201,0.4481,0.5004
p126,12.89959,77.466884,408,6130,0.15,0.0610,0.9785,1.0000,0.5699
p127,12.899611,77.562439,1452,9599,0.8377,0.2918,0.8131,0.1714,0.4502
p128,12.899967,77.618512,2040,7126,0.6791,0.4218,0.9310,0.3625,0.5881
p129,12.900047,77.659811,1608,12902,0.3731,0.3263,0.6556,0.7312,0.5225
p130,12.900195,77.61361,2046,7620,0.6411,0.4231,0.9074,0.4083,0.5896
p131,12.900595,77.547521,1134,11044,0.7896,0.2215,0.7442,0.2294,0.4060
p132,12.900946,77.604312,2184,8754,0.8264,0.4536,0.8533,0.1851,0.5398
p133,12.901029,77.635823,2034,9958,0.9182,0.4204,0.7959,0.0745,0.4827
p134,12.901079,77.538404,1014,11171,0.5943,0.1950,0.7381,0.4647,0.4390
p135,12.901173,77.679616,1344,14745,0.5509,0.2679,0.5677,0.5170,0.4227
p136,12.90121,77.642086,1968,11314,0.8091,0.4058,0.7313,0.2059,0.4798
p137,12.901586,77.508266,768,7934,0.1758,0.1406,0.8924,0.9689,0.5694
p138,12.901656,77.596718,2154,9769,0.9005,0.4469,0.8050,0.0958,0.5020
p139,12.90216,77.491337,624,5877,0.1519,0.1088,0.9905,0.9977,0.5952
p140,12.902189,77.569543,1716,10395,0.8782,0.3501,0.7751,0.1227,0.4534
p141,12.902446,77.498864,690,6409,0.1571,0.1233,0.9651,0.9914,0.5916
p142,12.902593,77.476399,504,5842,0.1501,0.0822,0.9922,0.9999,0.5842
p143,12.902871,77.484733,582,5807,0.1506,0.0995,0.9938,0.9993,0.5925
p144,12.903633,77.513633,846,8579,0.2155,0.1578,0.8617,0.9211,0.5568
p145,12.906361,77.572483,1962,10617,0.8988,0.4045,0.7645,0.0978,0.4692
p146,12.906636,77.467166,438,6061,0.15,0.0676,0.9817,1.0000,0.5740
p147,12.906677,77.606327,2538,9579,0.8817,0.5318,0.8140,0.1184,0.5479
p148,12.906761,77.528473,1074,10056,0.487,0.2082,0.7913,0.5940,0.4894
p149,12.906867,77.613627,2418,8803,0.9125,0.5053,0.8510,0.0813,0.5415
p150,12.906964,77.706394,942,12203,0.8846,0.1790,0.6889,0.1149,0.3447
p151,12.907038,77.651882,1962,12343,0.5597,0.4045,0.6822,0.5064,0.5221
p152,12.907732,77.554665,1518,9959,0.889,0.3064,0.7959,0.1096,0.4384
p153,12.907974,77.617755,2502,8455,0.9768,0.5239,0.8676,0.0039,0.5402
p154,12.908381,77.695548,1194,12018,0.8945,0.2347,0.6977,0.1030,0.3704
p155,12.908505,77.637211,2388,12888,0.8675,0.4987,0.6563,0.1355,0.4812
p156,12.90867,77.480154,576,5807,0.1507,0.0981,0.9938,0.9992,0.5918
p157,12.908869,77.521946,1032,9049,0.3916,0.1989,0.8393,0.7089,0.5251
p158,12.908953,77.64459,2238,12783,0.6803,0.4655,0.6613,0.3611,0.5131
p159,12.909298,77.580402,2310,10534,0.8759,0.4814,0.7685,0.1254,0.5107
p160,12.909314,77.49165,702,5870,0.1564,0.1260,0.9908,0.9923,0.6020
p161,12.909525,77.545656,1374,12007,0.8828,0.2745,0.6983,0.1171,0.3914
p162,12.909585,77.596939,2622,10691,0.9049,0.5504,0.7610,0.0905,0.5321
p163,12.909648,77.717511,756,12546,0.6822,0.1379,0.6726,0.3588,0.3692
p164,12.909838,77.56302,1848,9960,0.8589,0.3793,0.7959,0.1459,0.4784
p165,12.909931,77.509193,906,8167,0.2279,0.1711,0.8813,0.9061,0.5667
p166,12.910105,77.679148,1560,16376,0.8045,0.3156,0.4900,0.2114,0.3558
p167,12.9105,77.512837,972,8422,0.2719,0.1857,0.8692,0.8531,0.5584
p168,12.910604,77.627847,2562,10548,0.98,0.5371,0.7678,0.0000,0.5104
p169,12.910651,77.476369,552,5843,0.1504,0.0928,0.9921,0.9995,0.5889
p170,12.910768,77.539429,1332,11607,0.8174,0.2653,0.7173,0.1959,0.4096
p171,12.910773,77.6862,1476,13664,0.8749,0.2971,0.6193,0.1266,0.3758
p172,12.910787,77.660859,1836,13530,0.6398,0.3767,0.6256,0.4099,0.4704
p173,12.911634,77.724293,660,13196,0.5019,0.1167,0.6416,0.5760,0.3923
p174,12.911709,77.666682,1806,14122,0.7134,0.3700,0.5974,0.3212,0.4399
p175,12.9118,77.50016,828,6865,0.1819,0.1538,0.9434,0.9616,0.5917
p176,12.914392,77.545761,1530,11379,0.8996,0.3090,0.7282,0.0969,0.4133
p177,12.914793,77.633571,2664,12721,0.98,0.5597,0.6642,0.0000,0.4843
p178,12.914922,77.475579,576,5921,0.1507,0.0981,0.9884,0.9992,0.5899
p179,12.915092,77.491382,768,6021,0.1643,0.1406,0.9836,0.9828,0.6041
p180,12.915127,77.572821,2310,10738,0.7359,0.4814,0.7588,0.2941,0.5410
p181,12.915305,77.74168,486,13942,0.2204,0.0782,0.6060,0.9152,0.4304
p182,12.915621,77.55666,1848,10947,0.7478,0.3793,0.7488,0.2798,0.4887
p183,12.915631,77.694543,1428,12242,0.8631,0.2865,0.6871,0.1408,0.3976
p184,12.916098,77.523377,1224,8601,0.5746,0.2414,0.8606,0.4884,0.5075
p185,12.916159,77.538694,1458,10624,0.8766,0.2931,0.7642,0.1246,0.4243
p186,12.916399,77.586597,2688,11614,0.7733,0.5650,0.7170,0.2490,0.5550
p187,12.916838,77.565328,2178,10679,0.6743,0.4523,0.7616,0.3683,0.5437
p188,12.91692,77.51546,1128,8381,0.4139,0.2202,0.8711,0.6820,0.5404
p189,12.917,77.709259,1026,12220,0.6376,0.1976,0.6881,0.4125,0.4123
p190,12.917127,77.481441,660,5920,0.1535,0.1167,0.9885,0.9958,0.5976
p191,12.917241,77.641742,2556,12882,0.9265,0.5358,0.6565,0.0645,0.4838
p192,12.917493,77.668946,1830,14670,0.9314,0.3753,0.5713,0.0586,0.3806
p193,12.917493,77.593962,2862,13811,0.9033,0.6034,0.6123,0.0924,0.5043
p194,12.917572,77.530232,1362,9349,0.7652,0.2719,0.8250,0.2588,0.4629
p195,12.917711,77.662904,1908,14609,0.8979,0.3926,0.5742,0.0989,0.3974
p196,12.918522,77.699915,1332,12254,0.7424,0.2653,0.6865,0.2863,0.4169
p197,12.918938,77.734147,612,13566,0.2361,0.1061,0.6239,0.8963,0.4454
p198,12.919234,77.609959,3090,10520,0.9708,0.6538,0.7692,0.0111,0.5657
p199,12.919343,77.579389,2634,11510,0.606,0.5531,0.7220,0.4506,0.5917
p200,12.919391,77.625799,2940,11792,0.98,0.6207,0.7085,0.0000,0.5273
p201,12.919469,77.505667,978,8149,0.2889,0.1870,0.8822,0.8327,0.5594
p202,12.920028,77.676642,1782,14591,0.9546,0.3647,0.5751,0.0306,0.3715
p203,12.922571,77.702345,1374,12174,0.5901,0.2745,0.6903,0.4698,0.4591
p204,12.922687,77.66911,1878,14910,0.98,0.3859,0.5599,0.0000,0.3696
p205,12.92271,77.652917,2310,13836,0.9624,0.4814,0.6111,0.0212,0.4348
p206,12.922728,77.485125,750,6338,0.1636,0.1366,0.9685,0.9836,0.5972
p207,12.922782,77.675429,1812,14465,0.965,0.3714,0.5811,0.0181,0.3741
p208,12.922902,77.588514,2946,14897,0.8478,0.6220,0.5605,0.1593,0.5079
p209,12.922951,77.717012,948,12152,0.3554,0.1804,0.6913,0.7525,0.4736
p210,12.923136,77.610471,3270,10764,0.8709,0.6936,0.7575,0.1314,0.6036
p211,12.923253,77.577704,2700,11806,0.5283,0.5676,0.7078,0.5442,0.6120
p212,12.923379,77.661334,2058,14938,0.98,0.4257,0.5585,0.0000,0.3871
p213,12.923432,77.735373,654,12832,0.1918,0.1154,0.6589,0.9496,0.4725
p214,12.923486,77.687498,1776,12904,0.783,0.3634,0.6555,0.2373,0.4404
p215,12.92366,77.634379,3000,13109,0.98,0.6340,0.6457,0.0000,0.5113
p216,12.923664,77.594025,3060,15357,0.9153,0.6472,0.5385,0.0780,0.4953
p217,12.924302,77.491655,828,6929,0.1953,0.1538,0.9404,0.9454,0.5874
p218,12.924466,77.557385,2100,10958,0.5347,0.4350,0.7483,0.5365,0.5650
p219,12.924519,77.605132,3222,11931,0.7546,0.6830,0.7019,0.2716,0.6073
p220,12.925128,77.474043,594,6549,0.1519,0.1021,0.9585,0.9977,0.5810
p221,12.925195,77.62808,3252,14055,0.98,0.6897,0.6006,0.0000,0.5206
p222,12.925226,77.563299,2346,10855,0.405,0.4894,0.7532,0.6928,0.6224
p223,12.925394,77.538399,1602,9608,0.8858,0.3249,0.8126,0.1135,0.4533
p224,12.925421,77.500469,972,7894,0.2948,0.1857,0.8944,0.8255,0.5617
p225,12.925551,77.512951,1176,8334,0.5392,0.2308,0.8734,0.5311,0.5157
p226,12.925863,77.693361,1722,12240,0.6284,0.3515,0.6872,0.4236,0.4834
p227,12.925872,77.74327,582,11894,0.1619,0.0995,0.7036,0.9857,0.4882
p228,12.925891,77.57151,2544,11207,0.394,0.5332,0.7364,0.7060,0.6389
p229,12.926169,77.532902,1530,9203,0.8988,0.3090,0.8319,0.0978,0.4498
p230,12.926171,77.522136,1350,8347,0.766,0.2692,0.8728,0.2578,0.4782
p231,12.926217,77.707972,1260,12000,0.4093,0.2493,0.6986,0.6876,0.4942
p232,12.927064,77.621349,3384,14106,0.9177,0.7188,0.5982,0.0751,0.5479
p233,12.927117,77.747896,540,11288,0.1554,0.0902,0.7325,0.9935,0.4957
p234,12.92719,77.641692,2808,13139,0.8445,0.5915,0.6443,0.1633,0.5243
p235,12.927199,77.505358,1074,8144,0.4063,0.2082,0.8824,0.6912,0.5408
p236,12.928094,77.727483,834,12172,0.1968,0.1552,0.6904,0.9436,0.5002
p237,12.930811,77.539269,1710,9529,0.8074,0.3488,0.8164,0.2080,0.4843
p238,12.931119,77.577524,2814,11962,0.491,0.5928,0.7004,0.5892,0.6298
p239,12.931231,77.498499,978,7869,0.3324,0.1870,0.8955,0.7802,0.5536
p240,12.931304,77.507287,1140,8017,0.5339,0.2228,0.8885,0.5375,0.5187
p241,12.931443,77.653359,2466,13881,0.8302,0.5159,0.6089,0.1805,0.4814
p242,12.931482,77.748081,582,10664,0.1641,0.0995,0.7623,0.9830,0.5082
p243,12.931637,77.613186,3510,13233,0.5993,0.7467,0.6398,0.4587,0.6517
p244,12.931866,77.548914,1974,9565,0.5697,0.4072,0.8147,0.4943,0.5672
p245,12.932003,77.662613,2196,14781,0.9448,0.4562,0.5660,0.0424,0.4119
p246,12.932004,77.708104,1500,11833,0.2888,0.3024,0.7066,0.8328,0.5499
p247,12.932127,77.677824,1818,13436,0.8996,0.3727,0.6301,0.0969,0.4076
p248,12.932356,77.643619,2946,13361,0.6929,0.6220,0.6337,0.3459,0.5709
p249,12.932518,77.718465,1110,11796,0.2103,0.2162,0.7083,0.9273,0.5307
p250,12.932664,77.701411,1710,11971,0.3766,0.3488,0.7000,0.7270,0.5474
p251,12.932836,77.756884,516,10644,0.1662,0.0849,0.7632,0.9805,0.5014
p252,12.933097,77.74273,666,11162,0.1701,0.1180,0.7385,0.9758,0.5068
p253,12.93327,77.586183,3018,13630,0.7068,0.6379,0.6209,0.3292,0.5702
p254,12.933525,77.530265,1578,8421,0.889,0.3196,0.8692,0.1096,0.4700
p255,12.933905,77.564769,2502,11003,0.2475,0.5239,0.7461,0.8825,0.6734
p256,12.934276,77.637365,3330,14439,0.5962,0.7069,0.5823,0.4624,0.6144
p257,12.934303,77.734905,774,12044,0.1764,0.1419,0.6965,0.9682,0.5013
p258,12.934737,77.727413,942,12010,0.1797,0.1790,0.6981,0.9642,0.5178
p259,12.934846,77.684408,1734,12249,0.8048,0.3541,0.6867,0.2111,0.4419
p260,12.934883,77.572615,2688,11697,0.3286,0.5650,0.7130,0.7848,0.6608
p261,12.934959,77.523746,1518,7520,0.8961,0.3064,0.9122,0.1011,0.4773
p262,12.935009,77.692901,1800,11999,0.6155,0.3687,0.6986,0.4392,0.4983
p263,12.935042,77.554627,2226,9670,0.3792,0.4629,0.8097,0.7239,0.6364
p264,12.935257,77.517051,1404,7357,0.8304,0.2812,0.9200,0.1802,0.4846
p265,12.935436,77.594571,3186,14365,0.7908,0.6751,0.5858,0.2280,0.5544
p266,12.93882,77.731324,912,12247,0.21,0.1724,0.6868,0.9277,0.5035
p267,12.938856,77.539664,1836,9446,0.6332,0.3767,0.8204,0.4178,0.5402
p268,12.939048,77.742358,738,12092,0.2099,0.1340,0.6942,0.9278,0.4888
p269,12.939269,77.658175,2370,13152,0.6229,0.4947,0.6437,0.4302,0.5339
p270,12.939558,77.574317,2760,11740,0.3082,0.5809,0.7110,0.8094,0.6721
p271,12.939626,77.552669,2232,9558,0.3373,0.4642,0.8150,0.7743,0.6490
p272,12.939809,77.52379,1578,7099,0.8923,0.3196,0.9323,0.1057,0.4913
p273,12.939969,77.756755,564,10457,0.21,0.0955,0.7722,0.9277,0.4988
p274,12.940022,77.560567,2424,10524,0.232,0.5066,0.7690,0.9012,0.6774
p275,12.940145,77.651973,2670,12810,0.5074,0.5610,0.6600,0.5694,0.5973
p276,12.940333,77.671235,1974,12927,0.871,0.4072,0.6544,0.1313,0.4385
p277,12.940844,77.485147,804,7897,0.2174,0.1485,0.8942,0.9188,0.5636
p278,12.941277,77.725892,1146,11981,0.2406,0.2241,0.6995,0.8908,0.5239
p279,12.94159,77.545679,2076,9515,0.434,0.4297,0.8171,0.6578,0.6109
p280,12.941601,77.597143,3300,14384,0.6254,0.7003,0.5849,0.4272,0.6053
p281,12.941925,77.694101,1734,11953,0.7705,0.3541,0.7008,0.2524,0.4551
p282,12.942103,77.634568,4152,14512,0.423,0.8886,0.5788,0.6711,0.7367
p283,12.942146,77.490619,912,7937,0.2981,0.1724,0.8923,0.8216,0.5542
p284,12.942295,77.514454,1404,7047,0.8714,0.2812,0.9347,0.1308,0.4799
p285,12.9427,77.499153,1080,7814,0.4983,0.2095,0.8982,0.5804,0.5247
p286,12.943031,77.71066,1740,10843,0.4149,0.3554,0.7538,0.6808,0.5599
p287,12.943086,77.578767,2880,11779,0.3287,0.6074,0.7091,0.7847,0.6785
p288,12.943218,77.67939,1746,12167,0.907,0.3568,0.6906,0.0880,0.4199
p289,12.943223,77.529787,1734,7718,0.7638,0.3541,0.9027,0.2605,0.5274
p290,12.943633,77.686676,1698,11966,0.9082,0.3462,0.7002,0.0865,0.4181
p291,12.943853,77.619239,4014,14900,0.3039,0.8581,0.5603,0.8146,0.7452
p292,12.943936,77.644825,3444,12861,0.4979,0.7321,0.6575,0.5808,0.6758
p293,12.944143,77.701458,1776,11281,0.6678,0.3634,0.7329,0.3761,0.4953
p294,12.946832,77.65896,2460,11888,0.6193,0.5146,0.7039,0.4346,0.5649
p295,12.947072,77.613697,3732,15034,0.2939,0.7958,0.5539,0.8266,0.7173
p296,12.94737,77.533382,1896,8450,0.5905,0.3899,0.8678,0.4693,0.5731
p297,12.947509,77.73393,1062,12500,0.3565,0.2056,0.6748,0.7512,0.4789
p298,12.947897,77.499935,1164,7818,0.6017,0.2281,0.8980,0.4558,0.5081
p299,12.947915,77.513381,1452,7240,0.8915,0.2918,0.9255,0.1066,0.4766
p300,12.948024,77.604335,3450,16267,0.3998,0.7334,0.4952,0.6990,0.6432
p301,12.948061,77.739331,906,12703,0.3707,0.1711,0.6651,0.7341,0.4566
p302,12.948296,77.748202,750,11521,0.3776,0.1366,0.7214,0.7258,0.4591
p303,12.94835,77.723585,1446,11912,0.3841,0.2905,0.7028,0.7180,0.5203
p304,12.94884,77.701093,1710,10152,0.8373,0.3488,0.7867,0.1719,0.4667
p305,12.948876,77.719309,1614,11531,0.4488,0.3276,0.7210,0.6400,0.5277
p306,12.949216,77.757125,648,11088,0.3699,0.1141,0.7421,0.7351,0.4581
p307,12.949374,77.653573,2898,11981,0.6899,0.6114,0.6995,0.3495,0.5899
p308,12.949438,77.693641,1674,11861,0.98,0.3408,0.7052,0.0000,0.4002
p309,12.9495,77.564084,2664,11427,0.1681,0.5597,0.7259,0.9782,0.7016
p310,12.949548,77.590447,3126,15480,0.3476,0.6618,0.5327,0.7619,0.6366
p311,12.949557,77.574252,2814,11870,0.213,0.5928,0.7048,0.9241,0.6983
p312,12.949614,77.627597,4428,14164,0.5324,0.9496,0.5954,0.5393,0.7436
p313,12.949835,77.552705,2322,9944,0.2198,0.4841,0.7966,0.9159,0.6798
p314,12.949875,77.68341,1680,11999,0.9165,0.3422,0.6986,0.0765,0.4138
p315,12.950059,77.66771,2052,11395,0.7311,0.4244,0.7274,0.2999,0.5056
p316,12.950239,77.675438,1842,11684,0.7484,0.3780,0.7137,0.2790,0.4757
p317,12.950245,77.548698,2220,9703,0.254,0.4615,0.8081,0.8747,0.6655
p318,12.950272,77.520949,1662,7330,0.8385,0.3382,0.9212,0.1705,0.5087
p319,12.950597,77.540027,2052,9216,0.3771,0.4244,0.8313,0.7264,0.6272
