point_id,latitude,longitude,orders_per_day,price_per_sqft,traffic_index
p132,12.900946,77.604312,2184,8754,0.8264
p133,12.901029,77.635823,2034,9958,0.9182
p134,12.901079,77.538404,1014,11171,0.5943
p135,12.901173,77.679616,1344,14745,0.5509
p136,12.90121,77.642086,1968,11314,0.8091
p137,12.901586,77.508266,768,7934,0.1758
p138,12.901656,77.596718,2154,9769,0.9005
p139,12.90216,77.491337,624,5877,0.1519
p140,12.902189,77.569543,1716,10395,0.8782
p141,12.902446,77.498864,690,6409,0.1571
p142,12.902593,77.476399,504,5842,0.1501
p143,12.902871,77.484733,582,5807,0.1506
p144,12.903633,77.513633,846,8579,0.2155
p145,12.906361,77.572483,1962,10617,0.8988
p146,12.906636,77.467166,438,6061,0.15
p147,12.906677,77.606327,2538,9579,0.8817
p148,12.906761,77.528473,1074,10056,0.487
p149,12.906867,77.613627,2418,8803,0.9125
p150,12.906964,77.706394,942,12203,0.8846
p151,12.907038,77.651882,1962,12343,0.5597
p152,12.907732,77.554665,1518,9959,0.889
p153,12.907974,77.617755,2502,8455,0.9768
p154,12.908381,77.695548,1194,12018,0.8945
p155,12.908505,77.637211,2388,12888,0.8675
p156,12.90867,77.480154,576,5807,0.1507
p157,12.908869,77.521946,1032,9049,0.3916
p158,12.908953,77.64459,2238,12783,0.6803
p159,12.909298,77.580402,2310,10534,0.8759
p160,12.909314,77.49165,702,5870,0.1564
p161,12.909525,77.545656,1374,12007,0.8828
p162,12.909585,77.596939,2622,10691,0.9049
p163,12.909648,77.717511,756,12546,0.6822
p164,12.909838,77.56302,1848,9960,0.8589
p165,12.909931,77.509193,906,8167,0.2279
p166,12.910105,77.679148,1560,16376,0.8045
p167,12.9105,77.512837,972,8422,0.2719
p168,12.910604,77.627847,2562,10548,0.98
p169,12.910651,77.476369,552,5843,0.1504
p170,12.910768,77.539429,1332,11607,0.8174
p171,12.910773,77.6862,1476,13664,0.8749
p172,12.910787,77.660859,1836,13530,0.6398
p173,12.911634,77.724293,660,13196,0.5019
p174,12.911709,77.666682,1806,14122,0.7134
p175,12.9118,77.50016,828,6865,0.1819
p176,12.914392,77.545761,1530,11379,0.8996
p177,12.914793,77.633571,2664,12721,0.98
p178,12.914922,77.475579,576,5921,0.1507
p179,12.915092,77.491382,768,6021,0.1643
p180,12.915127,77.572821,2310,10738,0.7359
p181,12.915305,77.74168,486,13942,0.2204
p182,12.915621,77.55666,1848,10947,0.7478
p183,12.915631,77.694543,1428,12242,0.8631
p184,12.916098,77.523377,1224,8601,0.5746
p185,12.916159,77.538694,1458,10624,0.8766
p186,12.916399,77.586597,2688,11614,0.7733
p187,12.916838,77.565328,2178,10679,0.6743
p188,12.91692,77.51546,1128,8381,0.4139
p189,12.917,77.709259,1026,12220,0.6376
p190,12.917127,77.481441,660,5920,0.1535
p191,12.917241,77.641742,2556,12882,0.9265
p192,12.917493,77.668946,1830,14670,0.9314
p193,12.917493,77.593962,2862,13811,0.9033
p194,12.917572,77.530232,1362,9349,0.7652
p195,12.917711,77.662904,1908,14609,0.8979
p196,12.918522,77.699915,1332,12254,0.7424
p197,12.918938,77.734147,612,13566,0.2361
p198,12.919234,77.609959,3090,10520,0.9708
p199,12.919343,77.579389,2634,11510,0.606
p200,12.919391,77.625799,2940,11792,0.98
p201,12.919469,77.505667,978,8149,0.2889
p202,12.920028,77.676642,1782,14591,0.9546
p203,12.922571,77.702345,1374,12174,0.5901
p204,12.922687,77.66911,1878,14910,0.98
p205,12.92271,77.652917,2310,13836,0.9624
p206,12.922728,77.485125,750,6338,0.1636
p207,12.922782,77.675429,1812,14465,0.965
p208,12.922902,77.588514,2946,14897,0.8478
p209,12.922951,77.717012,948,12152,0.3554
p210,12.923136,77.610471,3270,10764,0.8709
p211,12.923253,77.577704,2700,11806,0.5283
p212,12.923379,77.661334,2058,14938,0.98
p213,12.923432,77.735373,654,12832,0.1918
p214,12.923486,77.687498,1776,12904,0.783
p215,12.92366,77.634379,3000,13109,0.98
p216,12.923664,77.594025,3060,15357,0.9153
p217,12.924302,77.491655,828,6929,0.1953
p218,12.924466,77.557385,2100,10958,0.5347
p219,12.924519,77.605132,3222,11931,0.7546
p220,12.925128,77.474043,594,6549,0.1519
p221,12.925195,77.62808,3252,14055,0.98
p222,12.925226,77.563299,2346,10855,0.405
p223,12.925394,77.538399,1602,9608,0.8858
p224,12.925421,77.500469,972,7894,0.2948
p225,12.925551,77.512951,1176,8334,0.5392
p226,12.925863,77.693361,1722,12240,0.6284
p227,12.925872,77.74327,582,11894,0.1619
p228,12.925891,77.57151,2544,11207,0.394
p229,12.926169,77.532902,1530,9203,0.8988
p230,12.926171,77.522136,1350,8347,0.766
p231,12.926217,77.707972,1260,12000,0.4093
p232,12.927064,77.621349,3384,14106,0.9177
p233,12.927117,77.747896,540,11288,0.1554
p234,12.92719,77.641692,2808,13139,0.8445
p235,12.927199,77.505358,1074,8144,0.4063
p236,12.928094,77.727483,834,12172,0.1968
p237,12.930811,77.539269,1710,9529,0.8074
p238,12.931119,77.577524,2814,11962,0.491
p239,12.931231,77.498499,978,7869,0.3324
p240,12.931304,77.507287,1140,8017,0.5339
p241,12.931443,77.653359,2466,13881,0.8302
p242,12.931482,77.748081,582,10664,0.1641
p243,12.931637,77.613186,3510,13233,0.5993
p244,12.931866,77.548914,1974,9565,0.5697
p245,12.932003,77.662613,2196,14781,0.9448
p246,12.932004,77.708104,1500,11833,0.2888
p247,12.932127,77.677824,1818,13436,0.8996
p248,12.932356,77.643619,2946,13361,0.6929
p249,12.932518,77.718465,1110,11796,0.2103
p250,12.932664,77.701411,1710,11971,0.3766
p251,12.932836,77.756884,516,10644,0.1662
p252,12.933097,77.74273,666,11162,0.1701
p253,12.93327,77.586183,3018,13630,0.7068
p254,12.933525,77.530265,1578,8421,0.889
p255,12.933905,77.564769,2502,11003,0.2475
p256,12.934276,77.637365,3330,14439,0.5962
p257,12.934303,77.734905,774,12044,0.1764
p258,12.934737,77.727413,942,12010,0.1797
p259,12.934846,77.684408,1734,12249,0.8048
p260,12.934883,77.572615,2688,11697,0.3286
p261,12.934959,77.523746,1518,7520,0.8961
p262,12.935009,77.692901,1800,11999,0.6155
p263,12.935042,77.554627,2226,9670,0.3792
p264,12.935257,77.517051,1404,7357,0.8304
p265,12.935436,77.594571,3186,14365,0.7908
p266,12.93882,77.731324,912,12247,0.21
p267,12.938856,77.539664,1836,9446,0.6332
p268,12.939048,77.742358,738,12092,0.2099
p269,12.939269,77.658175,2370,13152,0.6229
p270,12.939558,77.574317,2760,11740,0.3082
p271,12.939626,77.552669,2232,9558,0.3373
p272,12.939809,77.52379,1578,7099,0.8923
p273,12.939969,77.756755,564,10457,0.21
p274,12.940022,77.560567,2424,10524,0.232
p275,12.940145,77.651973,2670,12810,0.5074
p276,12.940333,77.671235,1974,12927,0.871
p277,12.940844,77.485147,804,7897,0.2174
p278,12.941277,77.725892,1146,11981,0.2406
p279,12.94159,77.545679,2076,9515,0.434
p280,12.941601,77.597143,3300,14384,0.6254
p281,12.941925,77.694101,1734,11953,0.7705
p282,12.942103,77.634568,4152,14512,0.423
p283,12.942146,77.490619,912,7937,0.2981
p284,12.942295,77.514454,1404,7047,0.8714
p285,12.9427,77.499153,1080,7814,0.4983
p286,12.943031,77.71066,1740,10843,0.4149
p287,12.943086,77.578767,2880,11779,0.3287
p288,12.943218,77.67939,1746,12167,0.907
p289,12.943223,77.529787,1734,7718,0.7638
p290,12.943633,77.686676,1698,11966,0.9082
p291,12.943853,77.619239,4014,14900,0.3039
p292,12.943936,77.644825,3444,12861,0.4979
p293,12.944143,77.701458,1776,11281,0.6678
p294,12.946832,77.65896,2460,11888,0.6193
p295,12.947072,77.613697,3732,15034,0.2939
p296,12.94737,77.533382,1896,8450,0.5905
p297,12.947509,77.73393,1062,12500,0.3565
p298,12.947897,77.499935,1164,7818,0.6017
p299,12.947915,77.513381,1452,7240,0.8915
p300,12.948024,77.604335,3450,16267,0.3998
p301,12.948061,77.739331,906,12703,0.3707
p302,12.948296,77.748202,750,11521,0.3776
p303,12.94835,77.723585,1446,11912,0.3841
p304,12.94884,77.701093,1710,10152,0.8373
p305,12.948876,77.719309,1614,11531,0.4488
p306,12.949216,77.757125,648,11088,0.3699
p307,12.949374,77.653573,2898,11981,0.6899
p308,12.949438,77.693641,1674,11861,0.98
p309,12.9495,77.564084,2664,11427,0.1681
p310,12.949548,77.590447,3126,15480,0.3476
p311,12.949557,77.574252,2814,11870,0.213
p312,12.949614,77.627597,4428,14164,0.5324
p313,12.949835,77.552705,2322,9944,0.2198
p314,12.949875,77.68341,1680,11999,0.9165
p315,12.950059,77.66771,2052,11395,0.7311
p316,12.950239,77.675438,1842,11684,0.7484
p317,12.950245,77.548698,2220,9703,0.254
p318,12.950272,77.520949,1662,7330,0.8385
p319,12.950597,77.540027,2052,9216,0.3771
p320,12.950657,77.634456,4578,13518,0.6824
p321,12.951836,77.472991,552,8169,0.173
p322,12.951851,77.581691,2988,13232,0.2494
p323,12.951924,77.490494,948,7982,0.4058
p324,12.951959,77.594554,3276,17160,0.3211
p325,12.952135,77.483438,756,8081,0.2689
p326,12.954977,77.528852,1866,8439,0.568
p327,12.955014,77.732916,1344,12358,0.589
p328,12.955205,77.492279,978,7939,0.4967
p329,12.95527,77.626284,4176,14041,0.6086
p330,12.955319,77.707311,1698,8626,0.9022
p331,12.955449,77.714827,1770,11607,0.7303
p332,12.955815,77.605645,3582,17524,0.2348
p333,12.955908,77.682196,1644,12010,0.9272
p334,12.955993,77.54763,2250,9547,0.2139
p335,12.956159,77.635262,4656,13505,0.8306
p336,12.956353,77.747745,864,12036,0.6816
p337,12.956517,77.643082,4464,12850,0.8618
p338,12.956619,77.764468,624,11551,0.4428
p339,12.956778,77.612744,3678,16725,0.2927
p340,12.956912,77.515142,1548,7874,0.8719
p341,12.957026,77.58649,3204,17406,0.247
p342,12.957124,77.48348,732,8087,0.2959
p343,12.957388,77.662657,2496,11021,0.8861
p344,12.957416,77.505763,1320,7726,0.8664
p345,12.957567,77.499336,1164,7791,0.7343
p346,12.958052,77.474685,558,8199,0.1895
p347,12.958106,77.622078,3966,14656,0.5083
p348,12.958447,77.593786,3438,18506,0.2345
p349,12.95852,77.651203,3846,11946,0.8917
p350,12.958578,77.759986,702,11841,0.6171
p351,12.958682,77.571429,2844,13028,0.1949
p352,12.958991,77.693919,1536,13814,0.98
p353,12.959041,77.581809,3084,16379,0.2464
p354,12.959203,77.739237,1200,12396,0.7674
p355,12.959289,77.562578,2652,11582,0.1629
p356,12.959783,77.541726,2118,8899,0.2382
p357,12.959847,77.725675,1668,12810,0.7474
p358,12.960149,77.521526,1734,8419,0.6963
p359,12.960197,77.702238,1578,11270,0.98
p360,12.96034,77.676312,1794,11404,0.9151
p361,12.962966,77.557088,2520,10574,0.1596
p362,12.963246,77.725598,1704,12928,0.8383
p363,12.963819,77.757764,780,12222,0.8553
p364,12.963891,77.629544,4020,14206,0.7398
p365,12.963999,77.691807,1518,13019,0.98
p366,12.964019,77.731245,1614,12865,0.8675
p367,12.96403,77.714575,1668,13708,0.9156
p368,12.964276,77.601106,3846,18583,0.1896
p369,12.964323,77.654,3966,10625,0.87
p370,12.964438,77.546086,2250,8570,0.1823
p371,12.964456,77.643959,4542,13570,0.8743
p372,12.964491,77.74282,1212,12539,0.98
p373,12.964508,77.709896,1596,12666,0.9728
p374,12.964721,77.522033,1740,8626,0.6598
p375,12.964904,77.764832,672,11678,0.5974
p376,12.965084,77.6115,3834,17655,0.2579
p377,12.965175,77.63561,4320,14177,0.8492
p378,12.965306,77.686904,1560,12251,0.9229
p379,12.965406,77.594626,3636,24770,0.2143
p380,12.96547,77.538339,2082,8480,0.2593
p381,12.965487,77.485062,720,8041,0.3333
p382,12.96567,77.584917,3318,20806,0.2849
p383,12.965933,77.515591,1608,8334,0.8392
p384,12.966025,77.532728,1980,9337,0.3692
p385,12.966143,77.619503,3846,15313,0.4177
p386,12.966353,77.499343,1116,7825,0.7374
p387,12.96657,77.507063,1362,7772,0.8876
p388,12.966576,77.701768,1530,11819,0.98
p389,12.966847,77.667479,2670,11072,0.8098
p390,12.966921,77.488669,798,7983,0.4143
p391,12.967088,77.748185,1092,12488,0.98
p392,12.967773,77.562515,2694,11995,0.1679
p393,12.968124,77.662344,3384,10982,0.7804
p394,12.968193,77.582134,3258,19529,0.3005
p395,12.971303,77.629807,3792,15053,0.6096
p396,12.971404,77.67762,2016,11454,0.6764
p397,12.971705,77.596554,3816,26653,0.1983
p398,12.971778,77.691484,1518,11371,0.9121
p399,12.971829,77.73576,1644,13544,0.9536
p400,12.971959,77.650183,4452,12674,0.6794
p401,12.972141,77.756023,930,12292,0.98
p402,12.972192,77.581797,3372,19382,0.2969
p403,12.972501,77.572285,3024,15393,0.2337
p404,12.972626,77.775879,540,10430,0.2814
p405,12.97263,77.609843,3984,18216,0.2111
p406,12.972736,77.750817,1152,12462,0.98
p407,12.972835,77.546197,2316,7557,0.2076
p408,12.972905,77.602014,4086,19519,0.1791
p409,12.973036,77.767218,678,10922,0.5218
p410,12.973171,77.642072,4164,19297,0.6505
p411,12.973553,77.715559,1524,12920,0.857
p412,12.973678,77.524437,1794,9353,0.691
p413,12.97376,77.636846,3906,18535,0.6309
p414,12.973817,77.741246,1476,13257,0.98
p415,12.97402,77.533734,2004,8836,0.4204
p416,12.974573,77.663043,3786,10790,0.5827
p417,12.974632,77.552704,2478,9526,0.1815
p418,12.974973,77.724596,1602,13012,0.8392
p419,12.975042,77.686553,1662,11488,0.7467
p420,12.975247,77.512155,1452,8343,0.8985
p421,12.97542,77.497177,984,7830,0.5679
p422,12.975438,77.506377,1296,8094,0.8249
p423,12.975539,77.617316,3960,14890,0.2789
p424,12.975837,77.484199,624,7871,0.2576
p425,12.975962,77.5861,3576,20785,0.2599
p426,12.976631,77.702736,1476,11295,0.8614
p427,12.976718,77.66941,3294,10639,0.5165
p428,12.979564,77.675688,2742,11286,0.4359
p429,12.979567,77.614439,3978,15324,0.2139
p430,12.979763,77.734286,1590,13405,0.7386
p431,12.980217,77.479671,498,7823,0.193
p432,12.980349,77.620051,3996,14106,0.2604
p433,12.980519,77.499853,1026,7426,0.5898
p434,12.980672,77.666096,3948,10112,0.4292
p435,12.981195,77.741366,1500,11979,0.7343
p436,12.981242,77.604501,3972,18228,0.1652
p437,12.981442,77.764979,834,9899,0.4643
p438,12.981523,77.651758,4062,11992,0.388
p439,12.981917,77.569225,2910,14983,0.1814
p440,12.981986,77.523192,1758,7884,0.8093
p441,12.982132,77.544743,2316,9184,0.3175
p442,12.982149,77.707775,1458,12507,0.6941
p443,12.98218,77.699339,1506,11159,0.8983
p444,12.982329,77.646885,3654,14053,0.3663
p445,12.982711,77.715479,1452,14057,0.594
p446,12.982783,77.473614,384,7944,0.1623
p447,12.982799,77.536891,2112,9179,0.4827
p448,12.982895,77.587846,3480,20609,0.1952
p449,12.982898,77.506921,1236,7340,0.7701
p450,12.982937,77.751871,1308,9734,0.69
p451,12.983141,77.594416,3702,20948,0.1723
p452,12.983182,77.662435,4152,10015,0.3867
p453,12.983413,77.724919,1446,13413,0.5843
p454,12.983707,77.633809,3528,14023,0.3258
p455,12.983901,77.553201,2544,13020,0.233
p456,12.984023,77.492065,750,7136,0.3418
p457,12.984118,77.561711,2730,13563,0.1837
p458,12.98421,77.625818,3708,13992,0.2639
p459,12.984521,77.687512,1926,13509,0.789
p460,12.98733,77.718873,1422,15160,0.4523
p461,12.987499,77.733726,1392,11877,0.4648
p462,12.987582,77.678336,3168,13082,0.705
p463,12.988142,77.576979,3192,15473,0.1743
p464,12.988245,77.638147,3294,12817,0.2519
p465,12.988517,77.747151,1350,9511,0.4622
p466,12.988586,77.605664,3756,14855,0.1562
p467,12.988706,77.501218,960,6314,0.5354
p468,12.98883,77.563704,2712,14194,0.1957
p469,12.988968,77.537523,2052,12825,0.6023
p470,12.988968,77.661909,3978,10035,0.5866
p471,12.989238,77.686698,2322,14880,0.8276
p472,12.989282,77.58565,3384,20377,0.1691
p473,12.989346,77.596266,3600,21084,0.1573
p474,12.989434,77.724293,1344,14428,0.3961
p475,12.989627,77.695086,1734,13192,0.9452
p476,12.989792,77.766439,942,9491,0.2788
p477,12.990127,77.772424,732,9205,0.2164
p478,12.990419,77.573915,2994,15101,0.1746
p479,12.990533,77.66631,3984,10101,0.7365
p480,12.990966,77.70978,1446,14850,0.6188
p481,12.991175,77.644832,3072,11572,0.3597
p482,12.991368,77.629861,3468,11772,0.2155
p483,12.991381,77.474915,354,7725,0.1583
p484,12.991383,77.517538,1410,7588,0.8869
p485,12.991607,77.492916,678,6528,0.3008
p486,12.991925,77.556376,2478,13914,0.2834
p487,12.992117,77.544488,2148,12682,0.5039
p488,12.992197,77.69955,1644,11842,0.9253
p489,12.992411,77.65304,3276,10485,0.5157
p490,12.992898,77.529876,1764,9583,0.8438
p491,12.995443,77.637399,2964,11010,0.3547
p492,12.995469,77.693471,2142,13154,0.98
p493,12.995473,77.759883,1182,9550,0.2491
p494,12.995494,77.65085,2976,10266,0.568
p495,12.995619,77.589504,3378,19845,0.1676
p496,12.995666,77.726277,1248,13475,0.2623
p497,12.995996,77.644117,2712,10522,0.4749
p498,12.996002,77.609474,3480,10831,0.1568
p499,12.996104,77.48033,396,7353,0.1666
p500,12.996166,77.686027,2988,14611,0.98
p501,12.996331,77.707975,1434,13081,0.6838
p502,12.996497,77.595085,3360,17807,0.1649
p503,12.996761,77.512371,1128,6327,0.7239
p504,12.996903,77.743596,1158,8979,0.2516
p505,12.997093,77.566165,2664,15448,0.2566
p506,12.99734,77.546184,2112,11852,0.5816
p507,12.997872,77.577592,2838,15988,0.2053
p508,12.998104,77.678104,3648,11558,0.98
p509,12.998332,77.667332,3762,9742,0.98
p510,12.998415,77.658921,3216,9756,0.8459
p511,12.998536,77.490431,558,6599,0.226
p512,12.998732,77.552602,2214,12666,0.4708
p513,12.999063,77.496877,672,6238,0.3175
p514,12.999108,77.751765,1128,7977,0.2232
p515,12.999127,77.698512,1932,8804,0.9717
p516,12.999174,77.538666,1842,10227,0.7968
p517,12.999661,77.6059,3270,14636,0.1676
p518,12.999769,77.521899,1320,7870,0.8596
p519,12.99984,77.717969,1284,14017,0.3511
p520,13.000291,77.630015,3090,10934,0.2966
p521,13.000605,77.528673,1518,8864,0.9144
p522,13.000745,77.62252,3180,11003,0.2093
p523,13.00407,77.739813,990,8413,0.1796
p524,13.004136,77.683866,3474,8812,0.98
p525,13.004288,77.663055,2994,8829,0.98
p526,13.004325,77.557552,2160,12121,0.5286
p527,13.004331,77.598468,3018,14814,0.2042
p528,13.004755,77.586228,2820,22165,0.2446
p529,13.004978,77.75818,996,7612,0.1719
p530,13.005017,77.735083,1014,9123,0.1741
p531,13.005217,77.637463,2598,9143,0.5341
p532,13.005632,77.574112,2538,17935,0.363
p533,13.005813,77.708697,1494,8265,0.5361
p534,13.005977,77.719759,1134,9316,0.2747
p535,13.006435,77.642332,2346,8803,0.6923
p536,13.006467,77.481456,354,7451,0.185
p537,13.006539,77.610337,2826,11912,0.1983
p538,13.006612,77.545954,1800,9366,0.8208
p539,13.006625,77.679344,3540,7010,0.98
p540,13.006938,77.580312,2622,24012,0.3278
p541,13.00701,77.505204,732,6357,0.3523
p542,13.00719,77.561063,2124,13638,0.5619
p543,13.007362,77.773202,798,7323,0.154
p544,13.007788,77.750335,906,7526,0.1649
p545,13.007805,77.703255,1992,7757,0.6433
p546,13.008002,77.630256,2574,9788,0.3946
p547,13.008447,77.533214,1422,7851,0.9544
p548,13.008453,77.694288,3018,7753,0.8457
p549,13.008535,77.727857,1050,8894,0.1821
p550,13.008623,77.602932,2766,13500,0.2452
p551,13.008665,77.667665,2814,7652,0.98
p552,13.009012,77.514807,906,6123,0.5322
p553,13.01165,77.489195,426,7213,0.2713
p554,13.011748,77.4839,342,7568,0.2421
p555,13.011805,77.606711,2562,12031,0.2799
p556,13.011845,77.635116,2352,8443,0.5826
p557,13.011874,77.668796,2610,7208,0.8963
p558,13.01194,77.517222,900,5781,0.5602
p559,13.012207,77.69458,3138,7764,0.6829
p560,13.012332,77.70871,1746,6480,0.3875
p561,13.012371,77.67867,3132,6611,0.8233
p562,13.013339,77.564032,2040,13108,0.7169
p563,13.013822,77.643292,2112,8440,0.823
p564,13.013907,77.499974,552,6679,0.4099
p565,13.01396,77.661241,2112,8272,0.875
p566,13.014126,77.597654,2502,9706,0.3856
p567,13.014126,77.686162,3222,7050,0.7081
p568,13.014159,77.537664,1314,7898,0.98
p569,13.014343,77.530007,1128,7163,0.8875
p570,13.014506,77.611408,2376,11116,0.3028
p571,13.014543,77.581731,2370,18832,0.5082
p572,13.014912,77.726606,930,7294,0.1721
p573,13.015733,77.620427,2226,10031,0.3138
p574,13.015734,77.554622,1704,11035,0.98
p575,13.015775,77.572032,2154,14650,0.7008
p576,13.016027,77.587817,2316,10956,0.4984
p577,13.016883,77.702212,2658,7089,0.376
p578,13.017154,77.524982,942,5837,0.8167
p579,13.017168,77.508162,612,6082,0.6092
p580,13.020411,77.521215,786,5678,0.886
p581,13.020516,77.484491,324,8368,0.4182
p582,13.021325,77.715228,1578,6035,0.1944
p583,13.021362,77.692255,3060,7637,0.3659
p584,13.021991,77.569115,1884,11039,0.9306
p585,13.022029,77.642576,1836,8030,0.8858
p586,13.022044,77.49752,432,7243,0.6185
p587,13.022088,77.709486,2196,6084,0.2174
p588,13.022266,77.541115,1092,9496,0.98
p589,13.022747,77.544398,1182,10488,0.98
p590,13.022768,77.588379,2112,8860,0.7666
p591,13.022826,77.597644,2118,8470,0.7546
p592,13.023004,77.563262,1662,10874,0.98
