point_id,latitude,longitude,traffic_index
p140,12.902189,77.569543,0.8782
p141,12.902446,77.498864,0.1571
p142,12.902593,77.476399,0.1501
p143,12.902871,77.484733,0.1506
p144,12.903633,77.513633,0.2155
p145,12.906361,77.572483,0.8988
p146,12.906636,77.467166,0.15
p147,12.906677,77.606327,0.8817
p148,12.906761,77.528473,0.487
p149,12.906867,77.613627,0.9125
p150,12.906964,77.706394,0.8846
p151,12.907038,77.651882,0.5597
p152,12.907732,77.554665,0.889
p153,12.907974,77.617755,0.9768
p154,12.908381,77.695548,0.8945
p155,12.908505,77.637211,0.8675
p156,12.90867,77.480154,0.1507
p157,12.908869,77.521946,0.3916
p158,12.908953,77.64459,0.6803
p159,12.909298,77.580402,0.8759
p160,12.909314,77.49165,0.1564
p161,12.909525,77.545656,0.8828
p162,12.909585,77.596939,0.9049
p163,12.909648,77.717511,0.6822
p164,12.909838,77.56302,0.8589
p165,12.909931,77.509193,0.2279
p166,12.910105,77.679148,0.8045
p167,12.9105,77.512837,0.2719
p168,12.910604,77.627847,0.98
p169,12.910651,77.476369,0.1504
p170,12.910768,77.539429,0.8174
p171,12.910773,77.6862,0.8749
p172,12.910787,77.660859,0.6398
p173,12.911634,77.724293,0.5019
p174,12.911709,77.666682,0.7134
p175,12.9118,77.50016,0.1819
p176,12.914392,77.545761,0.8996
p177,12.914793,77.633571,0.98
p178,12.914922,77.475579,0.1507
p179,12.915092,77.491382,0.1643
p180,12.915127,77.572821,0.7359
p181,12.915305,77.74168,0.2204
p182,12.915621,77.55666,0.7478
p183,12.915631,77.694543,0.8631
p184,12.916098,77.523377,0.5746
p185,12.916159,77.538694,0.8766
p186,12.916399,77.586597,0.7733
p187,12.916838,77.565328,0.6743
p188,12.91692,77.51546,0.4139
p189,12.917,77.709259,0.6376
p190,12.917127,77.481441,0.1535
p191,12.917241,77.641742,0.9265
p192,12.917493,77.668946,0.9314
p193,12.917493,77.593962,0.9033
p194,12.917572,77.530232,0.7652
p195,12.917711,77.662904,0.8979
p196,12.918522,77.699915,0.7424
p197,12.918938,77.734147,0.2361
p198,12.919234,77.609959,0.9708
p199,12.919343,77.579389,0.606
p200,12.919391,77.625799,0.98
p201,12.919469,77.505667,0.2889
p202,12.920028,77.676642,0.9546
p203,12.922571,77.702345,0.5901
p204,12.922687,77.66911,0.98
p205,12.92271,77.652917,0.9624
p206,12.922728,77.485125,0.1636
p207,12.922782,77.675429,0.965
p208,12.922902,77.588514,0.8478
p209,12.922951,77.717012,0.3554
p210,12.923136,77.610471,0.8709
p211,12.923253,77.577704,0.5283
p212,12.923379,77.661334,0.98
p213,12.923432,77.735373,0.1918
p214,12.923486,77.687498,0.783
p215,12.92366,77.634379,0.98
p216,12.923664,77.594025,0.9153
p217,12.924302,77.491655,0.1953
p218,12.924466,77.557385,0.5347
p219,12.924519,77.605132,0.7546
p220,12.925128,77.474043,0.1519
p221,12.925195,77.62808,0.98
p222,12.925226,77.563299,0.405
p223,12.925394,77.538399,0.8858
p224,12.925421,77.500469,0.2948
p225,12.925551,77.512951,0.5392
p226,12.925863,77.693361,0.6284
p227,12.925872,77.74327,0.1619
p228,12.925891,77.57151,0.394
p229,12.926169,77.532902,0.8988
p230,12.926171,77.522136,0.766
p231,12.926217,77.707972,0.4093
p232,12.927064,77.621349,0.9177
p233,12.927117,77.747896,0.1554
p234,12.92719,77.641692,0.8445
p235,12.927199,77.505358,0.4063
p236,12.928094,77.727483,0.1968
p237,12.930811,77.539269,0.8074
p238,12.931119,77.577524,0.491
p239,12.931231,77.498499,0.3324
p240,12.931304,77.507287,0.5339
p241,12.931443,77.653359,0.8302
p242,12.931482,77.748081,0.1641
p243,12.931637,77.613186,0.5993
p244,12.931866,77.548914,0.5697
p245,12.932003,77.662613,0.9448
p246,12.932004,77.708104,0.2888
p247,12.932127,77.677824,0.8996
p248,12.932356,77.643619,0.6929
p249,12.932518,77.718465,0.2103
p250,12.932664,77.701411,0.3766
p251,12.932836,77.756884,0.1662
p252,12.933097,77.74273,0.1701
p253,12.93327,77.586183,0.7068
p254,12.933525,77.530265,0.889
p255,12.933905,77.564769,0.2475
p256,12.934276,77.637365,0.5962
p257,12.934303,77.734905,0.1764
p258,12.934737,77.727413,0.1797
p259,12.934846,77.684408,0.8048
p260,12.934883,77.572615,0.3286
p261,12.934959,77.523746,0.8961
p262,12.935009,77.692901,0.6155
p263,12.935042,77.554627,0.3792
p264,12.935257,77.517051,0.8304
p265,12.935436,77.594571,0.7908
p266,12.93882,77.731324,0.21
p267,12.938856,77.539664,0.6332
p268,12.939048,77.742358,0.2099
p269,12.939269,77.658175,0.6229
p270,12.939558,77.574317,0.3082
p271,12.939626,77.552669,0.3373
p272,12.939809,77.52379,0.8923
p273,12.939969,77.756755,0.21
p274,12.940022,77.560567,0.232
p275,12.940145,77.651973,0.5074
p276,12.940333,77.671235,0.871
p277,12.940844,77.485147,0.2174
p278,12.941277,77.725892,0.2406
p279,12.94159,77.545679,0.434
p280,12.941601,77.597143,0.6254
p281,12.941925,77.694101,0.7705
p282,12.942103,77.634568,0.423
p283,12.942146,77.490619,0.2981
p284,12.942295,77.514454,0.8714
p285,12.9427,77.499153,0.4983
p286,12.943031,77.71066,0.4149
p287,12.943086,77.578767,0.3287
p288,12.943218,77.67939,0.907
p289,12.943223,77.529787,0.7638
p290,12.943633,77.686676,0.9082
p291,12.943853,77.619239,0.3039
p292,12.943936,77.644825,0.4979
p293,12.944143,77.701458,0.6678
p294,12.946832,77.65896,0.6193
p295,12.947072,77.613697,0.2939
p296,12.94737,77.533382,0.5905
p297,12.947509,77.73393,0.3565
p298,12.947897,77.499935,0.6017
p299,12.947915,77.513381,0.8915
p300,12.948024,77.604335,0.3998
p301,12.948061,77.739331,0.3707
p302,12.948296,77.748202,0.3776
p303,12.94835,77.723585,0.3841
p304,12.94884,77.701093,0.8373
p305,12.948876,77.719309,0.4488
p306,12.949216,77.757125,0.3699
p307,12.949374,77.653573,0.6899
p308,12.949438,77.693641,0.98
p309,12.9495,77.564084,0.1681
p310,12.949548,77.590447,0.3476
p311,12.949557,77.574252,0.213
p312,12.949614,77.627597,0.5324
p313,12.949835,77.552705,0.2198
p314,12.949875,77.68341,0.9165
p315,12.950059,77.66771,0.7311
p316,12.950239,77.675438,0.7484
p317,12.950245,77.548698,0.254
p318,12.950272,77.520949,0.8385
p319,12.950597,77.540027,0.3771
p320,12.950657,77.634456,0.6824
p321,12.951836,77.472991,0.173
p322,12.951851,77.581691,0.2494
p323,12.951924,77.490494,0.4058
p324,12.951959,77.594554,0.3211
p325,12.952135,77.483438,0.2689
p326,12.954977,77.528852,0.568
p327,12.955014,77.732916,0.589
p328,12.955205,77.492279,0.4967
p329,12.95527,77.626284,0.6086
p330,12.955319,77.707311,0.9022
p331,12.955449,77.714827,0.7303
p332,12.955815,77.605645,0.2348
p333,12.955908,77.682196,0.9272
p334,12.955993,77.54763,0.2139
p335,12.956159,77.635262,0.8306
p336,12.956353,77.747745,0.6816
p337,12.956517,77.643082,0.8618
p338,12.956619,77.764468,0.4428
p339,12.956778,77.612744,0.2927
p340,12.956912,77.515142,0.8719
p341,12.957026,77.58649,0.247
p342,12.957124,77.48348,0.2959
p343,12.957388,77.662657,0.8861
p344,12.957416,77.505763,0.8664
p345,12.957567,77.499336,0.7343
p346,12.958052,77.474685,0.1895
p347,12.958106,77.622078,0.5083
p348,12.958447,77.593786,0.2345
p349,12.95852,77.651203,0.8917
p350,12.958578,77.759986,0.6171
p351,12.958682,77.571429,0.1949
p352,12.958991,77.693919,0.98
p353,12.959041,77.581809,0.2464
p354,12.959203,77.739237,0.7674
p355,12.959289,77.562578,0.1629
p356,12.959783,77.541726,0.2382
p357,12.959847,77.725675,0.7474
p358,12.960149,77.521526,0.6963
p359,12.960197,77.702238,0.98
p360,12.96034,77.676312,0.9151
p361,12.962966,77.557088,0.1596
p362,12.963246,77.725598,0.8383
p363,12.963819,77.757764,0.8553
p364,12.963891,77.629544,0.7398
p365,12.963999,77.691807,0.98
p366,12.964019,77.731245,0.8675
p367,12.96403,77.714575,0.9156
p368,12.964276,77.601106,0.1896
p369,12.964323,77.654,0.87
p370,12.964438,77.546086,0.1823
p371,12.964456,77.643959,0.8743
p372,12.964491,77.74282,0.98
p373,12.964508,77.709896,0.9728
p374,12.964721,77.522033,0.6598
p375,12.964904,77.764832,0.5974
p376,12.965084,77.6115,0.2579
p377,12.965175,77.63561,0.8492
p378,12.965306,77.686904,0.9229
p379,12.965406,77.594626,0.2143
p380,12.96547,77.538339,0.2593
p381,12.965487,77.485062,0.3333
p382,12.96567,77.584917,0.2849
p383,12.965933,77.515591,0.8392
p384,12.966025,77.532728,0.3692
p385,12.966143,77.619503,0.4177
p386,12.966353,77.499343,0.7374
p387,12.96657,77.507063,0.8876
p388,12.966576,77.701768,0.98
p389,12.966847,77.667479,0.8098
p390,12.966921,77.488669,0.4143
p391,12.967088,77.748185,0.98
p392,12.967773,77.562515,0.1679
p393,12.968124,77.662344,0.7804
p394,12.968193,77.582134,0.3005
p395,12.971303,77.629807,0.6096
p396,12.971404,77.67762,0.6764
p397,12.971705,77.596554,0.1983
p398,12.971778,77.691484,0.9121
p399,12.971829,77.73576,0.9536
p400,12.971959,77.650183,0.6794
p401,12.972141,77.756023,0.98
p402,12.972192,77.581797,0.2969
p403,12.972501,77.572285,0.2337
p404,12.972626,77.775879,0.2814
p405,12.97263,77.609843,0.2111
p406,12.972736,77.750817,0.98
p407,12.972835,77.546197,0.2076
p408,12.972905,77.602014,0.1791
p409,12.973036,77.767218,0.5218
p410,12.973171,77.642072,0.6505
p411,12.973553,77.715559,0.857
p412,12.973678,77.524437,0.691
p413,12.97376,77.636846,0.6309
p414,12.973817,77.741246,0.98
p415,12.97402,77.533734,0.4204
p416,12.974573,77.663043,0.5827
p417,12.974632,77.552704,0.1815
p418,12.974973,77.724596,0.8392
p419,12.975042,77.686553,0.7467
p420,12.975247,77.512155,0.8985
p421,12.97542,77.497177,0.5679
p422,12.975438,77.506377,0.8249
p423,12.975539,77.617316,0.2789
p424,12.975837,77.484199,0.2576
p425,12.975962,77.5861,0.2599
p426,12.976631,77.702736,0.8614
p427,12.976718,77.66941,0.5165
p428,12.979564,77.675688,0.4359
p429,12.979567,77.614439,0.2139
p430,12.979763,77.734286,0.7386
p431,12.980217,77.479671,0.193
p432,12.980349,77.620051,0.2604
p433,12.980519,77.499853,0.5898
p434,12.980672,77.666096,0.4292
p435,12.981195,77.741366,0.7343
p436,12.981242,77.604501,0.1652
p437,12.981442,77.764979,0.4643
p438,12.981523,77.651758,0.388
p439,12.981917,77.569225,0.1814
p440,12.981986,77.523192,0.8093
p441,12.982132,77.544743,0.3175
p442,12.982149,77.707775,0.6941
p443,12.98218,77.699339,0.8983
p444,12.982329,77.646885,0.3663
p445,12.982711,77.715479,0.594
p446,12.982783,77.473614,0.1623
p447,12.982799,77.536891,0.4827
p448,12.982895,77.587846,0.1952
p449,12.982898,77.506921,0.7701
p450,12.982937,77.751871,0.69
p451,12.983141,77.594416,0.1723
p452,12.983182,77.662435,0.3867
p453,12.983413,77.724919,0.5843
p454,12.983707,77.633809,0.3258
p455,12.983901,77.553201,0.233
p456,12.984023,77.492065,0.3418
p457,12.984118,77.561711,0.1837
p458,12.98421,77.625818,0.2639
p459,12.984521,77.687512,0.789
p460,12.98733,77.718873,0.4523
p461,12.987499,77.733726,0.4648
p462,12.987582,77.678336,0.705
p463,12.988142,77.576979,0.1743
p464,12.988245,77.638147,0.2519
p465,12.988517,77.747151,0.4622
p466,12.988586,77.605664,0.1562
p467,12.988706,77.501218,0.5354
p468,12.98883,77.563704,0.1957
p469,12.988968,77.537523,0.6023
p470,12.988968,77.661909,0.5866
p471,12.989238,77.686698,0.8276
p472,12.989282,77.58565,0.1691
p473,12.989346,77.596266,0.1573
p474,12.989434,77.724293,0.3961
p475,12.989627,77.695086,0.9452
p476,12.989792,77.766439,0.2788
p477,12.990127,77.772424,0.2164
p478,12.990419,77.573915,0.1746
p479,12.990533,77.66631,0.7365
p480,12.990966,77.70978,0.6188
p481,12.991175,77.644832,0.3597
p482,12.991368,77.629861,0.2155
p483,12.991381,77.474915,0.1583
p484,12.991383,77.517538,0.8869
p485,12.991607,77.492916,0.3008
p486,12.991925,77.556376,0.2834
p487,12.992117,77.544488,0.5039
p488,12.992197,77.69955,0.9253
p489,12.992411,77.65304,0.5157
p490,12.992898,77.529876,0.8438
p491,12.995443,77.637399,0.3547
p492,12.995469,77.693471,0.98
p493,12.995473,77.759883,0.2491
p494,12.995494,77.65085,0.568
p495,12.995619,77.589504,0.1676
p496,12.995666,77.726277,0.2623
p497,12.995996,77.644117,0.4749
p498,12.996002,77.609474,0.1568
p499,12.996104,77.48033,0.1666
p500,12.996166,77.686027,0.98
p501,12.996331,77.707975,0.6838
p502,12.996497,77.595085,0.1649
p503,12.996761,77.512371,0.7239
p504,12.996903,77.743596,0.2516
p505,12.997093,77.566165,0.2566
p506,12.99734,77.546184,0.5816
p507,12.997872,77.577592,0.2053
p508,12.998104,77.678104,0.98
p509,12.998332,77.667332,0.98
p510,12.998415,77.658921,0.8459
p511,12.998536,77.490431,0.226
p512,12.998732,77.552602,0.4708
p513,12.999063,77.496877,0.3175
p514,12.999108,77.751765,0.2232
p515,12.999127,77.698512,0.9717
p516,12.999174,77.538666,0.7968
p517,12.999661,77.6059,0.1676
p518,12.999769,77.521899,0.8596
p519,12.99984,77.717969,0.3511
p520,13.000291,77.630015,0.2966
p521,13.000605,77.528673,0.9144
p522,13.000745,77.62252,0.2093
p523,13.00407,77.739813,0.1796
p524,13.004136,77.683866,0.98
p525,13.004288,77.663055,0.98
p526,13.004325,77.557552,0.5286
p527,13.004331,77.598468,0.2042
p528,13.004755,77.586228,0.2446
p529,13.004978,77.75818,0.1719
p530,13.005017,77.735083,0.1741
p531,13.005217,77.637463,0.5341
p532,13.005632,77.574112,0.363
p533,13.005813,77.708697,0.5361
p534,13.005977,77.719759,0.2747
p535,13.006435,77.642332,0.6923
p536,13.006467,77.481456,0.185
p537,13.006539,77.610337,0.1983
p538,13.006612,77.545954,0.8208
p539,13.006625,77.679344,0.98
p540,13.006938,77.580312,0.3278
p541,13.00701,77.505204,0.3523
p542,13.00719,77.561063,0.5619
p543,13.007362,77.773202,0.154
p544,13.007788,77.750335,0.1649
p545,13.007805,77.703255,0.6433
p546,13.008002,77.630256,0.3946
p547,13.008447,77.533214,0.9544
p548,13.008453,77.694288,0.8457
p549,13.008535,77.727857,0.1821
p550,13.008623,77.602932,0.2452
p551,13.008665,77.667665,0.98
p552,13.009012,77.514807,0.5322
p553,13.01165,77.489195,0.2713
p554,13.011748,77.4839,0.2421
p555,13.011805,77.606711,0.2799
p556,13.011845,77.635116,0.5826
p557,13.011874,77.668796,0.8963
p558,13.01194,77.517222,0.5602
p559,13.012207,77.69458,0.6829
p560,13.012332,77.70871,0.3875
p561,13.012371,77.67867,0.8233
p562,13.013339,77.564032,0.7169
p563,13.013822,77.643292,0.823
p564,13.013907,77.499974,0.4099
p565,13.01396,77.661241,0.875
p566,13.014126,77.597654,0.3856
p567,13.014126,77.686162,0.7081
p568,13.014159,77.537664,0.98
p569,13.014343,77.530007,0.8875
p570,13.014506,77.611408,0.3028
p571,13.014543,77.581731,0.5082
p572,13.014912,77.726606,0.1721
p573,13.015733,77.620427,0.3138
p574,13.015734,77.554622,0.98
p575,13.015775,77.572032,0.7008
p576,13.016027,77.587817,0.4984
p577,13.016883,77.702212,0.376
p578,13.017154,77.524982,0.8167
p579,13.017168,77.508162,0.6092
p580,13.020411,77.521215,0.886
p581,13.020516,77.484491,0.4182
p582,13.021325,77.715228,0.1944
p583,13.021362,77.692255,0.3659
p584,13.021991,77.569115,0.9306
p585,13.022029,77.642576,0.8858
p586,13.022044,77.49752,0.6185
p587,13.022088,77.709486,0.2174
p588,13.022266,77.541115,0.98
p589,13.022747,77.544398,0.98
p590,13.022768,77.588379,0.7666
p591,13.022826,77.597644,0.7546
p592,13.023004,77.563262,0.98
p593,13.023068,77.578153,0.816
p594,13.023195,77.5296,0.98
p595,13.023217,77.512632,0.8442
p596,13.023369,77.609373,0.6081
p597,13.023476,77.65313,0.8096
p598,13.023586,77.661138,0.6033
p599,13.023603,77.724121,0.1603
p600,13.024023,77.506395,0.7849
p601,13.024129,77.666871,0.5069
p602,13.024417,77.627057,0.6376
p603,13.024506,77.621047,0.5613
p604,13.02467,77.553814,0.98
p605,13.024884,77.633743,0.7698
p606,13.024946,77.682593,0.3417
p607,13.027901,77.507411,0.8723
p608,13.02793,77.593961,0.98
p609,13.027942,77.711942,0.1707
p610,13.029362,77.556945,0.98
p611,13.02951,77.563438,0.98
p612,13.029602,77.5687,0.98
p613,13.029639,77.602981,0.98
p614,13.029665,77.64601,0.8665
p615,13.030112,77.653875,0.6908
p616,13.030113,77.530058,0.98
p617,13.030495,77.628921,0.8521
p618,13.030943,77.53988,0.98
p619,13.031002,77.724774,0.1525
p620,13.03122,77.491683,0.8097
p621,13.031317,77.719241,0.1551
p622,13.031578,77.61436,0.8909
p623,13.031654,77.578701,0.9719
p624,13.031872,77.588358,0.98
p625,13.031876,77.667654,0.3187
p626,13.032285,77.620926,0.8663
p627,13.032299,77.525729,0.9199
p628,13.0325,77.659462,0.4953
p629,13.032823,77.63651,0.9121
p630,13.033317,77.495774,0.8768
p631,13.035888,77.541551,0.8747
p632,13.036127,77.563517,0.98
p633,13.036532,77.610012,0.98
p634,13.036677,77.500708,0.8953
p635,13.036957,77.594534,0.98
p636,13.037036,77.635451,0.9222
p637,13.037253,77.658169,0.4525
p638,13.037417,77.617352,0.98
p639,13.037671,77.642368,0.8418
p640,13.037675,77.603566,0.98
p641,13.03838,77.674703,0.1911
p642,13.03914,77.578535,0.8955
p643,13.039397,77.62828,0.98
p644,13.039601,77.570437,0.8923
p645,13.039702,77.512718,0.7589
p646,13.039761,77.547735,0.7931
p647,13.039859,77.651271,0.5957
p648,13.039912,77.531127,0.6823
p649,13.039973,77.52267,0.6696
p650,13.040527,77.509184,0.7734
p651,13.040923,77.586684,0.9754
p652,13.041102,77.483718,0.899
p653,13.044137,77.49846,0.7909
p654,13.04436,77.658382,0.3478
p655,13.044407,77.622543,0.98
p656,13.044549,77.532801,0.5186
p657,13.044933,77.516319,0.5573
p658,13.044964,77.655085,0.4085
p659,13.045304,77.612922,0.98
p660,13.045958,77.50648,0.6476
p661,13.046113,77.676768,0.1634
p662,13.046141,77.578697,0.6665
p663,13.046309,77.564085,0.6764
p664,13.046986,77.554738,0.5747
p665,13.047072,77.574187,0.6226
p666,13.047112,77.646226,0.5329
p667,13.047221,77.628124,0.9025
p668,13.047323,77.63609,0.7097
p669,13.047392,77.520787,0.4331
p670,13.047647,77.548858,0.486
p671,13.047708,77.682578,0.1537
p672,13.048412,77.595433,0.781
p673,13.048429,77.604152,0.8819
p674,13.048483,77.538113,0.404
p675,13.04858,77.588216,0.6723
p676,13.048581,77.670239,0.1808
p677,13.052154,77.564655,0.4488
p678,13.052826,77.552872,0.3549
p679,13.053084,77.612053,0.7687
p680,13.05408,77.626418,0.7013
p681,13.054235,77.506028,0.4093
p682,13.054246,77.533407,0.2691
p683,13.054301,77.497569,0.5025
p684,13.054651,77.597438,0.5141
p685,13.054758,77.521132,0.2711
p686,13.054825,77.571141,0.3644
p687,13.055156,77.515721,0.3018
p688,13.055162,77.659846,0.2134
p689,13.055195,77.619817,0.7392
p690,13.055492,77.603479,0.5475
p691,13.055493,77.636742,0.4486
p692,13.055707,77.587223,0.3884
p693,13.056828,77.53714,0.2325
p694,13.056866,77.642907,0.3335
p695,13.05768,77.577245,0.3005
p696,13.057721,77.548164,0.2354
p697,13.060644,77.593788,0.303
p698,13.060916,77.529758,0.1905
p699,13.061115,77.660026,0.1776
p700,13.061361,77.637629,0.3026
p701,13.061646,77.572638,0.2283
p702,13.062122,77.645207,0.2323
p703,13.062661,77.62898,0.3727
p704,13.062698,77.565145,0.21
p705,13.062914,77.581297,0.2241
p706,13.062977,77.614799,0.4049
p707,13.06352,77.553322,0.1853
p708,13.063705,77.505491,0.2348
p709,13.064449,77.650323,0.1892
p710,13.064533,77.618614,0.3748
p711,13.064993,77.52164,0.1742
p712,13.065029,77.536346,0.169
p713,13.065053,77.586809,0.2106
p714,13.06546,77.601939,0.2604
p715,13.068786,77.517286,0.1666
p716,13.069183,77.617685,0.2682
p717,13.06936,77.503999,0.1889
p718,13.069509,77.497371,0.2084
p719,13.069701,77.579413,0.1709
p720,13.070151,77.633806,0.212
p721,13.070686,77.606187,0.211
p722,13.071475,77.566049,0.1598
p723,13.071987,77.557567,0.1564
p724,13.071988,77.524802,0.1547
p725,13.07228,77.536945,0.1539
p726,13.07263,77.610999,0.2067
p727,13.072671,77.627535,0.2097
p728,13.073121,77.545102,0.1533
p729,13.073345,77.572609,0.1578
p730,13.073573,77.588487,0.1633
p731,13.076608,77.626035,0.1818
p732,13.076683,77.621732,0.1843
p733,13.076821,77.506471,0.1581
p734,13.076846,77.556053,0.1518
p735,13.077366,77.520288,0.1521
p736,13.07746,77.572746,0.153
p737,13.07811,77.595992,0.1585
p738,13.078964,77.64541,0.1544
p739,13.079727,77.579539,0.1522
p740,13.079941,77.546402,0.1505
p741,13.080311,77.541348,0.1505
p742,13.080941,77.637249,0.1569
p743,13.081095,77.603613,0.1575
p744,13.082011,77.609375,0.1589
p745,13.084491,77.610501,0.1555
p746,13.08497,77.53186,0.1501
p747,13.085008,77.627417,0.1554
p748,13.085131,77.620271,0.156
p749,13.085486,77.587699,0.1508
p750,13.085708,77.645933,0.1509
p751,13.086801,77.573984,0.1503
p752,13.087927,77.576978,0.1502
p753,13.088093,77.563531,0.1501
p754,13.088391,77.553634,0.1501
p755,13.088781,77.636525,0.1512
p756,13.088902,77.603037,0.1512
p757,13.089043,77.548745,0.15
p758,13.089494,77.538625,0.15
p759,13.089853,77.596521,0.1505
p760,13.093529,77.566066,0.15
p761,13.093964,77.611021,0.1505
p762,13.095818,77.633494,0.1502
p763,13.095851,77.622322,0.1504
p764,13.09592,77.62621,0.1503
p765,13.097311,77.594548,0.1501
p766,13.098123,77.641792,0.1501
p767,13.09821,77.588219,0.15
p768,13.101024,77.603022,0.15
p769,13.101361,77.62129,0.1501
p770,13.102665,77.586381,0.15
p771,13.103422,77.612151,0.15
p772,13.104511,77.628386,0.15
p773,13.104522,77.594536,0.15
p774,13.104889,77.578043,0.15
p775,13.10599,77.563854,0.15
p776,13.108962,77.570462,0.15
p777,13.109811,77.563754,0.15
p778,13.110475,77.598184,0.15
p779,13.110643,77.637465,0.15
p780,13.110715,77.578879,0.15
p781,13.111059,77.603897,0.15
p782,13.111826,77.585787,0.15
p783,13.112952,77.630897,0.15
