point_id,latitude,longitude,traffic_index,corridor_field,hotspot_bonus,nearest_hotspot,nearest_hotspot_km
p276,12.940333,77.671235,0.871,0.9181,0.0324,Sarjapur / Iblur Signal,1.758
p277,12.940844,77.485147,0.2174,0.0899,0.0,Gokaldas Images Junction,10.014
p278,12.941277,77.725892,0.2406,0.1204,0.0003,Marathahalli Junction,3.666
p279,12.94159,77.545679,0.434,0.3786,0.0,Hudson Circle,5.039
p280,12.941601,77.597143,0.6254,0.4593,0.1309,Dairy Circle,0.529
p281,12.941925,77.694101,0.7705,0.7818,0.0342,Marathahalli Junction,1.933
p282,12.942103,77.634568,0.423,0.3587,0.0039,Silk Board Junction,3.035
p283,12.942146,77.490619,0.2981,0.1975,0.0,Gokaldas Images Junction,9.61
p284,12.942295,77.514454,0.8714,0.9618,0.0,Hudson Circle,7.942
p285,12.9427,77.499153,0.4983,0.4643,0.0,Gokaldas Images Junction,9.179
p286,12.943031,77.71066,0.4149,0.3317,0.0161,Marathahalli Junction,2.286
p287,12.943086,77.578767,0.3287,0.2277,0.0079,Dairy Circle,2.523
p288,12.943218,77.67939,0.907,0.9911,0.0137,Sarjapur / Iblur Signal,2.495
p289,12.943223,77.529787,0.7638,0.8184,0.0,Hudson Circle,6.391
p290,12.943633,77.686676,0.9082,0.9747,0.0272,Marathahalli Junction,2.068
p291,12.943853,77.619239,0.3039,0.1655,0.0298,Dairy Circle,1.881
p292,12.943936,77.644825,0.4979,0.461,0.0021,Sarjapur / Iblur Signal,2.968
p293,12.944143,77.701458,0.6678,0.6225,0.0509,Marathahalli Junction,1.711
p294,12.946832,77.65896,0.6193,0.6151,0.008,Sarjapur / Iblur Signal,2.424
p295,12.947072,77.613697,0.2939,0.1142,0.0582,Dairy Circle,1.387
p296,12.94737,77.533382,0.5905,0.5873,0.0,Hudson Circle,5.837
p297,12.947509,77.73393,0.3565,0.2723,0.0023,Whitefield / Big Bazaar,3.019
p298,12.947897,77.499935,0.6017,0.6023,0.0,Gokaldas Images Junction,8.614
p299,12.947915,77.513381,0.8915,0.9887,0.0,Hudson Circle,7.834
p300,12.948024,77.604335,0.3998,0.1772,0.1169,Dairy Circle,0.713
p301,12.948061,77.739331,0.3707,0.286,0.0063,Whitefield / Big Bazaar,2.668
p302,12.948296,77.748202,0.3776,0.2864,0.0128,Whitefield / Big Bazaar,2.386
p303,12.94835,77.723585,0.3841,0.3093,0.0021,Marathahalli Junction,3.079
p304,12.94884,77.701093,0.8373,0.7742,0.1067,Marathahalli Junction,1.203
p305,12.948876,77.719309,0.4488,0.3892,0.007,Marathahalli Junction,2.632
p306,12.949216,77.757125,0.3699,0.2769,0.0122,Whitefield / Big Bazaar,2.404
p307,12.949374,77.653573,0.6899,0.7169,0.0023,Sarjapur / Iblur Signal,2.892
p308,12.949438,77.693641,0.98,0.9574,0.1144,Marathahalli Junction,1.144
p309,12.9495,77.564084,0.1681,0.0218,0.0018,Hudson Circle,2.986
p310,12.949548,77.590447,0.3476,0.1889,0.0559,Dairy Circle,1.506
p311,12.949557,77.574252,0.213,0.0715,0.0093,Hudson Circle,2.412
p312,12.949614,77.627597,0.5324,0.5062,0.0027,Dairy Circle,2.902
p313,12.949835,77.552705,0.2198,0.093,0.0001,Hudson Circle,3.882
p314,12.949875,77.68341,0.9165,0.9662,0.0419,Marathahalli Junction,1.829
p315,12.950059,77.66771,0.7311,0.7688,0.0046,Sarjapur / Iblur Signal,2.711
p316,12.950239,77.675438,0.7484,0.7846,0.0099,Marathahalli Junction,2.576
p317,12.950245,77.548698,0.254,0.1387,0.0,Hudson Circle,4.222
p318,12.950272,77.520949,0.8385,0.918,0.0,Hudson Circle,6.973
p319,12.950597,77.540027,0.3771,0.3028,0.0,Hudson Circle,5.033
p320,12.950657,77.634456,0.6824,0.7093,0.0004,Dairy Circle,3.649
p321,12.951836,77.472991,0.173,0.0306,0.0,Gokaldas Images Junction,9.75
p322,12.951851,77.581691,0.2494,0.0961,0.0273,Hudson Circle,2.007
p323,12.951924,77.490494,0.4058,0.341,0.0,Gokaldas Images Junction,8.662
p324,12.951959,77.594554,0.3211,0.1386,0.0671,Dairy Circle,1.366
p325,12.952135,77.483438,0.2689,0.1585,0.0,Gokaldas Images Junction,9.046
p326,12.954977,77.528852,0.568,0.5573,0.0,Hudson Circle,6.0
p327,12.955014,77.732916,0.589,0.5713,0.0105,Whitefield / Big Bazaar,2.471
p328,12.955205,77.492279,0.4967,0.4622,0.0,Gokaldas Images Junction,8.251
p329,12.95527,77.626284,0.6086,0.6093,0.0016,Dairy Circle,3.015
p330,12.955319,77.707311,0.9022,0.8522,0.1131,Marathahalli Junction,1.154
p331,12.955449,77.714827,0.7303,0.7284,0.034,Marathahalli Junction,1.933
p332,12.955815,77.605645,0.2348,0.0532,0.0448,Dairy Circle,1.578
p333,12.955908,77.682196,0.9272,0.9654,0.0532,Marathahalli Junction,1.687
p334,12.955993,77.54763,0.2139,0.0852,0.0,Hudson Circle,4.037
p335,12.956159,77.635262,0.8306,0.9073,0.0001,Dairy Circle,3.933
p336,12.956353,77.747745,0.6816,0.6145,0.0707,Whitefield / Big Bazaar,1.507
p337,12.956517,77.643082,0.8618,0.949,0.0,Sarjapur / Iblur Signal,4.149
p338,12.956619,77.764468,0.4428,0.3608,0.0222,Whitefield / Big Bazaar,2.142
p339,12.956778,77.612744,0.2927,0.1632,0.0202,Dairy Circle,2.007
