point_id,latitude,longitude,price_per_sqft
p157,12.908869,77.521946,9049
p158,12.908953,77.64459,12783
p159,12.909298,77.580402,10534
p160,12.909314,77.49165,5870
p161,12.909525,77.545656,12007
p162,12.909585,77.596939,10691
p163,12.909648,77.717511,12546
p164,12.909838,77.56302,9960
p165,12.909931,77.509193,8167
p166,12.910105,77.679148,16376
p167,12.9105,77.512837,8422
p168,12.910604,77.627847,10548
p169,12.910651,77.476369,5843
p170,12.910768,77.539429,11607
p171,12.910773,77.6862,13664
p172,12.910787,77.660859,13530
p173,12.911634,77.724293,13196
p174,12.911709,77.666682,14122
p175,12.9118,77.50016,6865
p176,12.914392,77.545761,11379
p177,12.914793,77.633571,12721
p178,12.914922,77.475579,5921
p179,12.915092,77.491382,6021
p180,12.915127,77.572821,10738
p181,12.915305,77.74168,13942
p182,12.915621,77.55666,10947
p183,12.915631,77.694543,12242
p184,12.916098,77.523377,8601
p185,12.916159,77.538694,10624
p186,12.916399,77.586597,11614
p187,12.916838,77.565328,10679
p188,12.91692,77.51546,8381
p189,12.917,77.709259,12220
p190,12.917127,77.481441,5920
p191,12.917241,77.641742,12882
p192,12.917493,77.668946,14670
p193,12.917493,77.593962,13811
p194,12.917572,77.530232,9349
p195,12.917711,77.662904,14609
p196,12.918522,77.699915,12254
p197,12.918938,77.734147,13566
p198,12.919234,77.609959,10520
p199,12.919343,77.579389,11510
p200,12.919391,77.625799,11792
p201,12.919469,77.505667,8149
p202,12.920028,77.676642,14591
p203,12.922571,77.702345,12174
p204,12.922687,77.66911,14910
p205,12.92271,77.652917,13836
p206,12.922728,77.485125,6338
p207,12.922782,77.675429,14465
p208,12.922902,77.588514,14897
p209,12.922951,77.717012,12152
p210,12.923136,77.610471,10764
p211,12.923253,77.577704,11806
p212,12.923379,77.661334,14938
p213,12.923432,77.735373,12832
p214,12.923486,77.687498,12904
p215,12.92366,77.634379,13109
p216,12.923664,77.594025,15357
p217,12.924302,77.491655,6929
p218,12.924466,77.557385,10958
p219,12.924519,77.605132,11931
p220,12.925128,77.474043,6549
p221,12.925195,77.62808,14055
p222,12.925226,77.563299,10855
p223,12.925394,77.538399,9608
p224,12.925421,77.500469,7894
p225,12.925551,77.512951,8334
p226,12.925863,77.693361,12240
p227,12.925872,77.74327,11894
p228,12.925891,77.57151,11207
p229,12.926169,77.532902,9203
p230,12.926171,77.522136,8347
p231,12.926217,77.707972,12000
p232,12.927064,77.621349,14106
p233,12.927117,77.747896,11288
p234,12.92719,77.641692,13139
p235,12.927199,77.505358,8144
p236,12.928094,77.727483,12172
p237,12.930811,77.539269,9529
p238,12.931119,77.577524,11962
p239,12.931231,77.498499,7869
p240,12.931304,77.507287,8017
p241,12.931443,77.653359,13881
p242,12.931482,77.748081,10664
p243,12.931637,77.613186,13233
p244,12.931866,77.548914,9565
p245,12.932003,77.662613,14781
p246,12.932004,77.708104,11833
p247,12.932127,77.677824,13436
p248,12.932356,77.643619,13361
p249,12.932518,77.718465,11796
p250,12.932664,77.701411,11971
p251,12.932836,77.756884,10644
p252,12.933097,77.74273,11162
p253,12.93327,77.586183,13630
p254,12.933525,77.530265,8421
p255,12.933905,77.564769,11003
p256,12.934276,77.637365,14439
p257,12.934303,77.734905,12044
p258,12.934737,77.727413,12010
p259,12.934846,77.684408,12249
p260,12.934883,77.572615,11697
p261,12.934959,77.523746,7520
p262,12.935009,77.692901,11999
p263,12.935042,77.554627,9670
p264,12.935257,77.517051,7357
p265,12.935436,77.594571,14365
p266,12.93882,77.731324,12247
p267,12.938856,77.539664,9446
p268,12.939048,77.742358,12092
p269,12.939269,77.658175,13152
p270,12.939558,77.574317,11740
p271,12.939626,77.552669,9558
p272,12.939809,77.52379,7099
p273,12.939969,77.756755,10457
p274,12.940022,77.560567,10524
p275,12.940145,77.651973,12810
p276,12.940333,77.671235,12927
p277,12.940844,77.485147,7897
p278,12.941277,77.725892,11981
p279,12.94159,77.545679,9515
p280,12.941601,77.597143,14384
p281,12.941925,77.694101,11953
p282,12.942103,77.634568,14512
p283,12.942146,77.490619,7937
p284,12.942295,77.514454,7047
p285,12.9427,77.499153,7814
p286,12.943031,77.71066,10843
p287,12.943086,77.578767,11779
p288,12.943218,77.67939,12167
p289,12.943223,77.529787,7718
p290,12.943633,77.686676,11966
p291,12.943853,77.619239,14900
p292,12.943936,77.644825,12861
p293,12.944143,77.701458,11281
p294,12.946832,77.65896,11888
p295,12.947072,77.613697,15034
p296,12.94737,77.533382,8450
p297,12.947509,77.73393,12500
p298,12.947897,77.499935,7818
p299,12.947915,77.513381,7240
p300,12.948024,77.604335,16267
p301,12.948061,77.739331,12703
p302,12.948296,77.748202,11521
p303,12.94835,77.723585,11912
p304,12.94884,77.701093,10152
p305,12.948876,77.719309,11531
p306,12.949216,77.757125,11088
p307,12.949374,77.653573,11981
p308,12.949438,77.693641,11861
p309,12.9495,77.564084,11427
p310,12.949548,77.590447,15480
p311,12.949557,77.574252,11870
p312,12.949614,77.627597,14164
p313,12.949835,77.552705,9944
p314,12.949875,77.68341,11999
p315,12.950059,77.66771,11395
p316,12.950239,77.675438,11684
p317,12.950245,77.548698,9703
p318,12.950272,77.520949,7330
p319,12.950597,77.540027,9216
p320,12.950657,77.634456,13518
p321,12.951836,77.472991,8169
p322,12.951851,77.581691,13232
p323,12.951924,77.490494,7982
p324,12.951959,77.594554,17160
p325,12.952135,77.483438,8081
p326,12.954977,77.528852,8439
p327,12.955014,77.732916,12358
p328,12.955205,77.492279,7939
p329,12.95527,77.626284,14041
p330,12.955319,77.707311,8626
p331,12.955449,77.714827,11607
p332,12.955815,77.605645,17524
p333,12.955908,77.682196,12010
p334,12.955993,77.54763,9547
p335,12.956159,77.635262,13505
p336,12.956353,77.747745,12036
p337,12.956517,77.643082,12850
p338,12.956619,77.764468,11551
p339,12.956778,77.612744,16725
p340,12.956912,77.515142,7874
p341,12.957026,77.58649,17406
p342,12.957124,77.48348,8087
p343,12.957388,77.662657,11021
p344,12.957416,77.505763,7726
p345,12.957567,77.499336,7791
p346,12.958052,77.474685,8199
p347,12.958106,77.622078,14656
p348,12.958447,77.593786,18506
p349,12.95852,77.651203,11946
p350,12.958578,77.759986,11841
p351,12.958682,77.571429,13028
p352,12.958991,77.693919,13814
p353,12.959041,77.581809,16379
p354,12.959203,77.739237,12396
p355,12.959289,77.562578,11582
p356,12.959783,77.541726,8899
p357,12.959847,77.725675,12810
p358,12.960149,77.521526,8419
p359,12.960197,77.702238,11270
p360,12.96034,77.676312,11404
p361,12.962966,77.557088,10574
p362,12.963246,77.725598,12928
p363,12.963819,77.757764,12222
p364,12.963891,77.629544,14206
p365,12.963999,77.691807,13019
p366,12.964019,77.731245,12865
p367,12.96403,77.714575,13708
p368,12.964276,77.601106,18583
p369,12.964323,77.654,10625
p370,12.964438,77.546086,8570
p371,12.964456,77.643959,13570
p372,12.964491,77.74282,12539
p373,12.964508,77.709896,12666
p374,12.964721,77.522033,8626
p375,12.964904,77.764832,11678
p376,12.965084,77.6115,17655
p377,12.965175,77.63561,14177
p378,12.965306,77.686904,12251
p379,12.965406,77.594626,24770
p380,12.96547,77.538339,8480
p381,12.965487,77.485062,8041
p382,12.96567,77.584917,20806
p383,12.965933,77.515591,8334
p384,12.966025,77.532728,9337
p385,12.966143,77.619503,15313
p386,12.966353,77.499343,7825
p387,12.96657,77.507063,7772
p388,12.966576,77.701768,11819
p389,12.966847,77.667479,11072
p390,12.966921,77.488669,7983
p391,12.967088,77.748185,12488
p392,12.967773,77.562515,11995
p393,12.968124,77.662344,10982
p394,12.968193,77.582134,19529
p395,12.971303,77.629807,15053
p396,12.971404,77.67762,11454
p397,12.971705,77.596554,26653
p398,12.971778,77.691484,11371
p399,12.971829,77.73576,13544
p400,12.971959,77.650183,12674
p401,12.972141,77.756023,12292
p402,12.972192,77.581797,19382
p403,12.972501,77.572285,15393
p404,12.972626,77.775879,10430
p405,12.97263,77.609843,18216
p406,12.972736,77.750817,12462
p407,12.972835,77.546197,7557
p408,12.972905,77.602014,19519
p409,12.973036,77.767218,10922
p410,12.973171,77.642072,19297
p411,12.973553,77.715559,12920
p412,12.973678,77.524437,9353
p413,12.97376,77.636846,18535
p414,12.973817,77.741246,13257
p415,12.97402,77.533734,8836
p416,12.974573,77.663043,10790
p417,12.974632,77.552704,9526
p418,12.974973,77.724596,13012
p419,12.975042,77.686553,11488
p420,12.975247,77.512155,8343
p421,12.97542,77.497177,7830
p422,12.975438,77.506377,8094
p423,12.975539,77.617316,14890
p424,12.975837,77.484199,7871
p425,12.975962,77.5861,20785
p426,12.976631,77.702736,11295
p427,12.976718,77.66941,10639
p428,12.979564,77.675688,11286
p429,12.979567,77.614439,15324
p430,12.979763,77.734286,13405
p431,12.980217,77.479671,7823
p432,12.980349,77.620051,14106
p433,12.980519,77.499853,7426
p434,12.980672,77.666096,10112
p435,12.981195,77.741366,11979
p436,12.981242,77.604501,18228
p437,12.981442,77.764979,9899
p438,12.981523,77.651758,11992
p439,12.981917,77.569225,14983
p440,12.981986,77.523192,7884
p441,12.982132,77.544743,9184
p442,12.982149,77.707775,12507
p443,12.98218,77.699339,11159
p444,12.982329,77.646885,14053
p445,12.982711,77.715479,14057
p446,12.982783,77.473614,7944
p447,12.982799,77.536891,9179
p448,12.982895,77.587846,20609
p449,12.982898,77.506921,7340
p450,12.982937,77.751871,9734
p451,12.983141,77.594416,20948
p452,12.983182,77.662435,10015
p453,12.983413,77.724919,13413
p454,12.983707,77.633809,14023
p455,12.983901,77.553201,13020
p456,12.984023,77.492065,7136
p457,12.984118,77.561711,13563
p458,12.98421,77.625818,13992
p459,12.984521,77.687512,13509
p460,12.98733,77.718873,15160
p461,12.987499,77.733726,11877
p462,12.987582,77.678336,13082
p463,12.988142,77.576979,15473
p464,12.988245,77.638147,12817
p465,12.988517,77.747151,9511
p466,12.988586,77.605664,14855
p467,12.988706,77.501218,6314
p468,12.98883,77.563704,14194
p469,12.988968,77.537523,12825
p470,12.988968,77.661909,10035
p471,12.989238,77.686698,14880
p472,12.989282,77.58565,20377
p473,12.989346,77.596266,21084
p474,12.989434,77.724293,14428
p475,12.989627,77.695086,13192
p476,12.989792,77.766439,9491
p477,12.990127,77.772424,9205
p478,12.990419,77.573915,15101
p479,12.990533,77.66631,10101
p480,12.990966,77.70978,14850
p481,12.991175,77.644832,11572
p482,12.991368,77.629861,11772
p483,12.991381,77.474915,7725
p484,12.991383,77.517538,7588
p485,12.991607,77.492916,6528
p486,12.991925,77.556376,13914
p487,12.992117,77.544488,12682
p488,12.992197,77.69955,11842
p489,12.992411,77.65304,10485
p490,12.992898,77.529876,9583
p491,12.995443,77.637399,11010
p492,12.995469,77.693471,13154
p493,12.995473,77.759883,9550
p494,12.995494,77.65085,10266
p495,12.995619,77.589504,19845
p496,12.995666,77.726277,13475
p497,12.995996,77.644117,10522
p498,12.996002,77.609474,10831
p499,12.996104,77.48033,7353
p500,12.996166,77.686027,14611
p501,12.996331,77.707975,13081
p502,12.996497,77.595085,17807
p503,12.996761,77.512371,6327
p504,12.996903,77.743596,8979
p505,12.997093,77.566165,15448
p506,12.99734,77.546184,11852
p507,12.997872,77.577592,15988
p508,12.998104,77.678104,11558
p509,12.998332,77.667332,9742
p510,12.998415,77.658921,9756
p511,12.998536,77.490431,6599
p512,12.998732,77.552602,12666
p513,12.999063,77.496877,6238
p514,12.999108,77.751765,7977
p515,12.999127,77.698512,8804
p516,12.999174,77.538666,10227
p517,12.999661,77.6059,14636
p518,12.999769,77.521899,7870
p519,12.99984,77.717969,14017
p520,13.000291,77.630015,10934
p521,13.000605,77.528673,8864
p522,13.000745,77.62252,11003
p523,13.00407,77.739813,8413
p524,13.004136,77.683866,8812
p525,13.004288,77.663055,8829
p526,13.004325,77.557552,12121
p527,13.004331,77.598468,14814
p528,13.004755,77.586228,22165
p529,13.004978,77.75818,7612
p530,13.005017,77.735083,9123
p531,13.005217,77.637463,9143
p532,13.005632,77.574112,17935
p533,13.005813,77.708697,8265
p534,13.005977,77.719759,9316
p535,13.006435,77.642332,8803
p536,13.006467,77.481456,7451
p537,13.006539,77.610337,11912
p538,13.006612,77.545954,9366
p539,13.006625,77.679344,7010
p540,13.006938,77.580312,24012
p541,13.00701,77.505204,6357
p542,13.00719,77.561063,13638
p543,13.007362,77.773202,7323
p544,13.007788,77.750335,7526
p545,13.007805,77.703255,7757
p546,13.008002,77.630256,9788
p547,13.008447,77.533214,7851
p548,13.008453,77.694288,7753
p549,13.008535,77.727857,8894
p550,13.008623,77.602932,13500
p551,13.008665,77.667665,7652
p552,13.009012,77.514807,6123
p553,13.01165,77.489195,7213
p554,13.011748,77.4839,7568
p555,13.011805,77.606711,12031
p556,13.011845,77.635116,8443
p557,13.011874,77.668796,7208
p558,13.01194,77.517222,5781
p559,13.012207,77.69458,7764
p560,13.012332,77.70871,6480
p561,13.012371,77.67867,6611
p562,13.013339,77.564032,13108
p563,13.013822,77.643292,8440
p564,13.013907,77.499974,6679
p565,13.01396,77.661241,8272
p566,13.014126,77.597654,9706
p567,13.014126,77.686162,7050
p568,13.014159,77.537664,7898
p569,13.014343,77.530007,7163
p570,13.014506,77.611408,11116
p571,13.014543,77.581731,18832
p572,13.014912,77.726606,7294
p573,13.015733,77.620427,10031
p574,13.015734,77.554622,11035
p575,13.015775,77.572032,14650
p576,13.016027,77.587817,10956
p577,13.016883,77.702212,7089
p578,13.017154,77.524982,5837
p579,13.017168,77.508162,6082
p580,13.020411,77.521215,5678
p581,13.020516,77.484491,8368
p582,13.021325,77.715228,6035
p583,13.021362,77.692255,7637
p584,13.021991,77.569115,11039
p585,13.022029,77.642576,8030
p586,13.022044,77.49752,7243
p587,13.022088,77.709486,6084
p588,13.022266,77.541115,9496
p589,13.022747,77.544398,10488
p590,13.022768,77.588379,8860
p591,13.022826,77.597644,8470
p592,13.023004,77.563262,10874
p593,13.023068,77.578153,11391
p594,13.023195,77.5296,6702
p595,13.023217,77.512632,6091
p596,13.023369,77.609373,10585
p597,13.023476,77.65313,7725
p598,13.023586,77.661138,7339
p599,13.023603,77.724121,6608
p600,13.024023,77.506395,6376
p601,13.024129,77.666871,7487
p602,13.024417,77.627057,9230
p603,13.024506,77.621047,9255
p604,13.02467,77.553814,12030
p605,13.024884,77.633743,8837
p606,13.024946,77.682593,7308
p607,13.027901,77.507411,6449
p608,13.02793,77.593961,10505
p609,13.027942,77.711942,6317
p610,13.029362,77.556945,9906
p611,13.02951,77.563438,9331
p612,13.029602,77.5687,10502
p613,13.029639,77.602981,13172
p614,13.029665,77.64601,9579
p615,13.030112,77.653875,7360
p616,13.030113,77.530058,7009
p617,13.030495,77.628921,9392
p618,13.030943,77.53988,9038
p619,13.031002,77.724774,7084
p620,13.03122,77.491683,9862
p621,13.031317,77.719241,6728
p622,13.031578,77.61436,10140
p623,13.031654,77.578701,10709
p624,13.031872,77.588358,12650
p625,13.031876,77.667654,7540
p626,13.032285,77.620926,9411
p627,13.032299,77.525729,6523
p628,13.0325,77.659462,7281
p629,13.032823,77.63651,10149
p630,13.033317,77.495774,9745
p631,13.035888,77.541551,8611
p632,13.036127,77.563517,9139
p633,13.036532,77.610012,11826
p634,13.036677,77.500708,9262
p635,13.036957,77.594534,15799
p636,13.037036,77.635451,10049
p637,13.037253,77.658169,7662
p638,13.037417,77.617352,11109
p639,13.037671,77.642368,9936
p640,13.037675,77.603566,14862
p641,13.03838,77.674703,8159
p642,13.03914,77.578535,10679
p643,13.039397,77.62828,10691
p644,13.039601,77.570437,10103
p645,13.039702,77.512718,6898
p646,13.039761,77.547735,8397
p647,13.039859,77.651271,8742
p648,13.039912,77.531127,7956
p649,13.039973,77.52267,6911
p650,13.040527,77.509184,7491
p651,13.040923,77.586684,12289
p652,13.041102,77.483718,10931
p653,13.044137,77.49846,10749
p654,13.04436,77.658382,8568
p655,13.044407,77.622543,11422
p656,13.044549,77.532801,8311
p657,13.044933,77.516319,7399
p658,13.044964,77.655085,8872
p659,13.045304,77.612922,11407
p660,13.045958,77.50648,9076
p661,13.046113,77.676768,8667
p662,13.046141,77.578697,9919
p663,13.046309,77.564085,9507
p664,13.046986,77.554738,8708
p665,13.047072,77.574187,9849
p666,13.047112,77.646226,9965
p667,13.047221,77.628124,11222
p668,13.047323,77.63609,10909
p669,13.047392,77.520787,7689
p670,13.047647,77.548858,8404
p671,13.047708,77.682578,8766
p672,13.048412,77.595433,11330
p673,13.048429,77.604152,11866
p674,13.048483,77.538113,8427
p675,13.04858,77.588216,9677
p676,13.048581,77.670239,8804
p677,13.052154,77.564655,9405
p678,13.052826,77.552872,8637
p679,13.053084,77.612053,11181
p680,13.05408,77.626418,11374
p681,13.054235,77.506028,9580
p682,13.054246,77.533407,8424
p683,13.054301,77.497569,10653
p684,13.054651,77.597438,10869
p685,13.054758,77.521132,8273
p686,13.054825,77.571141,9454
p687,13.055156,77.515721,8452
p688,13.055162,77.659846,9586
p689,13.055195,77.619817,11263
p690,13.055492,77.603479,11224
p691,13.055493,77.636742,11300
p692,13.055707,77.587223,9030
p693,13.056828,77.53714,8399
p694,13.056866,77.642907,10918
p695,13.05768,77.577245,9382
p696,13.057721,77.548164,8321
p697,13.060644,77.593788,11507
p698,13.060916,77.529758,8326
p699,13.061115,77.660026,9912
p700,13.061361,77.637629,11196
p701,13.061646,77.572638,9392
p702,13.062122,77.645207,10748
p703,13.062661,77.62898,11335
p704,13.062698,77.565145,8839
p705,13.062914,77.581297,9402
p706,13.062977,77.614799,10681
p707,13.06352,77.553322,7302
p708,13.063705,77.505491,9445
p709,13.064449,77.650323,10429
p710,13.064533,77.618614,11076
p711,13.064993,77.52164,8468
p712,13.065029,77.536346,7851
p713,13.065053,77.586809,9976
p714,13.06546,77.601939,11616
p715,13.068786,77.517286,8625
p716,13.069183,77.617685,9536
p717,13.06936,77.503999,9364
p718,13.069509,77.497371,9731
p719,13.069701,77.579413,9484
p720,13.070151,77.633806,10837
p721,13.070686,77.606187,11496
p722,13.071475,77.566049,7696
p723,13.071987,77.557567,6308
p724,13.071988,77.524802,8198
p725,13.07228,77.536945,7173
p726,13.07263,77.610999,10858
p727,13.072671,77.627535,10483
p728,13.073121,77.545102,6425
p729,13.073345,77.572609,8956
p730,13.073573,77.588487,10532
p731,13.076608,77.626035,10239
p732,13.076683,77.621732,9977
p733,13.076821,77.506471,9040
p734,13.076846,77.556053,6208
p735,13.077366,77.520288,8366
p736,13.07746,77.572746,8598
p737,13.07811,77.595992,11010
p738,13.078964,77.64541,10101
p739,13.079727,77.579539,9125
p740,13.079941,77.546402,6308
p741,13.080311,77.541348,6580
p742,13.080941,77.637249,10164
p743,13.081095,77.603613,10829
p744,13.082011,77.609375,10618
p745,13.084491,77.610501,10426
p746,13.08497,77.53186,7473
p747,13.085008,77.627417,10304
p748,13.085131,77.620271,10418
p749,13.085486,77.587699,8955
p750,13.085708,77.645933,10051
p751,13.086801,77.573984,8010
p752,13.087927,77.576978,7918
p753,13.088093,77.563531,7121
p754,13.088391,77.553634,6523
p755,13.088781,77.636525,10079
p756,13.088902,77.603037,10249
p757,13.089043,77.548745,6599
p758,13.089494,77.538625,7103
p759,13.089853,77.596521,9472
p760,13.093529,77.566066,7671
p761,13.093964,77.611021,10063
p762,13.095818,77.633494,10093
p763,13.095851,77.622322,10131
p764,13.09592,77.62621,10136
p765,13.097311,77.594548,8499
p766,13.098123,77.641792,10055
p767,13.09821,77.588219,7810
p768,13.101024,77.603022,8618
p769,13.101361,77.62129,9885
p770,13.102665,77.586381,7719
p771,13.103422,77.612151,9292
p772,13.104511,77.628386,9920
p773,13.104522,77.594536,8492
p774,13.104889,77.578043,7582
p775,13.10599,77.563854,7924
p776,13.108962,77.570462,7863
p777,13.109811,77.563754,8013
p778,13.110475,77.598184,8532
p779,13.110643,77.637465,9837
p780,13.110715,77.578879,7847
p781,13.111059,77.603897,8675
p782,13.111826,77.585787,8113
p783,13.112952,77.630897,9669
p784,13.117017,77.633479,9541
p785,13.117104,77.61385,9018
p786,13.117641,77.59402,8484
p787,13.11903,77.604205,8705
p788,13.119187,77.57385,8123
p789,13.119215,77.579916,8174
p790,13.120036,77.627993,9242
p791,13.120892,77.589147,8378
p792,13.121597,77.618988,8918
p793,13.125398,77.597608,8463
p794,13.125611,77.587476,8293
p795,13.126732,77.611221,8425
p796,13.127945,77.571682,7942
p797,13.12809,77.581053,8083
p798,13.130201,77.603784,8188
p799,13.133836,77.572987,7687
p800,13.137061,77.579924,7667
